component,component_document,consumer_screen_ids,consumer_count,coverage_status,catalog_rationale,owner,version
EmptyState,04-komponenty-bazowe/komponenty/emptystate.md,20.10,1,used,,Artur Wiśniewski,1.0
ErrorState,04-komponenty-bazowe/komponenty/errorstate.md,20.10,1,used,,Artur Wiśniewski,1.0
EvidencePanel,04-komponenty-domenowe/evidence-panel.md,50.06,1,used,,Artur Wiśniewski,1.0
FileInput,04-komponenty-bazowe/komponenty/fileinput.md,25.02,1,used,,Artur Wiśniewski,1.0
FilterBar,04-komponenty-bazowe/komponenty/filterbar.md,20.01|30.02|30.07|31.02|32.02|33.02|33.07|34.06|35.01|40.01|40.04|50.08|50.15|60.02|60.03|60.06|60.07|60.09|70.04|80.04|80.06|85.03,22,used,,Artur Wiśniewski,1.0
ForecastChart,05-wykresy-i-wizualizacje/komponenty/forecastchart.md,30.03|30.04|70.02,3,used,,Artur Wiśniewski,1.0
FunnelChart,05-wykresy-i-wizualizacje/komponenty/funnelchart.md,30.04|30.10|35.03|35.04,4,used,,Artur Wiśniewski,1.0
FunnelStep,04-komponenty-domenowe/funnel-step.md,35.04,1,used,,Artur Wiśniewski,1.0
IconButton,04-komponenty-bazowe/komponenty/iconbutton.md,30.01,1,used,,Artur Wiśniewski,1.0
InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,20.10|30.01|30.02|30.03|30.04|30.05|30.06|30.07|30.08|30.09|30.10|30.11|30.12|30.13|30.14|31.01|31.02|31.03|31.04|31.05|31.06|31.07|31.08|32.01|32.02|32.03|32.04|32.05|32.06|32.07|32.08|33.01|33.02|33.03|33.04|33.05|33.06|33.07|33.08|33.09|34.01|34.02|34.03|34.04|34.05|34.06|34.07|34.08|35.01|35.02|35.03|35.04|35.05|35.06|35.07|35.08|35.09|40.01|40.02|40.03|40.04|40.05|40.06|40.07|40.08|40.09|40.10|41.01|41.02|41.03|41.04|41.05|41.06|41.07|41.08|41.09|41.10|50.01|50.02|50.03|50.04|50.05|50.06|50.07|50.08|50.09|50.10|50.11|50.12|50.13|50.14|50.15|50.16|50.17|60.01|60.02|60.03|60.04|60.05|60.06|60.07|60.08|60.09|60.10|70.01|70.02|70.03|70.04|70.05|70.06|70.07|70.08|70.09|70.10|80.01|80.02|80.03|80.04|80.05|80.06|80.07|80.08|80.09|80.10|85.01|85.02|85.03|85.04|85.05|85.06,130,used,,Artur Wiśniewski,1.0
LineageGraph,04-komponenty-domenowe/lineage-graph.md,41.03,1,used,,Artur Wiśniewski,1.0
Menu,04-komponenty-bazowe/komponenty/menu.md,20.10,1,used,,Artur Wiśniewski,1.0
MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,30.02|30.03|30.04|30.11|30.13|30.14|31.01|31.02|31.03|31.05|31.07|32.01|33.01|33.06|33.07|33.08|34.01|34.02|34.07|35.01|35.05|40.01|40.08|41.07|50.01|50.03|50.04|50.09|50.10|50.14|70.01|70.02|70.03|70.08|70.09|80.02|80.03|80.07,38,used,,Artur Wiśniewski,1.0
MorningBrief,04-komponenty-domenowe/morning-brief.md,30.01,1,used,,Artur Wiśniewski,1.0
NipField,04-komponenty-bazowe/komponenty/nipfield.md,25.02,1,used,,Artur Wiśniewski,1.0
NumberField,04-komponenty-bazowe/komponenty/numberfield.md,25.02,1,used,,Artur Wiśniewski,1.0
PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,20.01|30.01|30.02|30.03|30.04|30.05|30.06|30.07|30.08|30.09|30.10|30.11|30.12|30.13|30.14|31.01|31.02|31.03|31.04|31.05|31.06|31.07|31.08|32.01|32.02|32.03|32.04|32.05|32.06|32.07|32.08|33.01|33.02|33.03|33.04|33.05|33.06|33.07|33.08|33.09|34.01|34.02|34.03|34.04|34.05|34.06|34.07|34.08|35.01|35.02|35.03|35.04|35.05|35.06|35.07|35.08|35.09|40.01|40.02|40.03|40.04|40.05|40.06|40.07|40.08|40.09|40.10|41.01|41.02|41.03|41.04|41.05|41.06|41.07|41.08|41.09|41.10|50.01|50.02|50.03|50.04|50.05|50.06|50.07|50.08|50.09|50.10|50.11|50.12|50.13|50.14|50.15|50.16|50.17|60.01|60.02|60.03|60.04|60.05|60.06|60.07|60.08|60.09|60.10|70.01|70.02|70.03|70.04|70.05|70.06|70.07|70.08|70.09|70.10|80.01|80.02|80.03|80.04|80.05|80.06|80.07|80.08|80.09|80.10|85.01|85.02|85.03|85.04|85.05|85.06,130,used,,Artur Wiśniewski,1.0
Pagination,04-komponenty-bazowe/komponenty/pagination.md,20.01|30.02|30.07|31.02|32.02|33.02|33.07|34.06|35.01|40.01|40.04|50.08|50.15|60.02|60.03|60.06|60.07|60.09|70.04|80.04|80.06|85.03,22,used,,Artur Wiśniewski,1.0
PaginationNav,04-komponenty-bazowe/komponenty/paginationnav.md,20.01,1,used,,Artur Wiśniewski,1.0
PairingFlow,04-komponenty-domenowe/pairing-flow.md,40.02,1,used,,Artur Wiśniewski,1.0
Panel,04-komponenty-bazowe/komponenty/panel.md,30.01,1,used,,Artur Wiśniewski,1.0
PasswordField,04-komponenty-bazowe/komponenty/passwordfield.md,25.02,1,used,,Artur Wiśniewski,1.0
PlanPerformance,04-komponenty-domenowe/plan-performance.md,30.04,1,used,,Artur Wiśniewski,1.0
Popover,04-komponenty-bazowe/komponenty/popover.md,20.10,1,used,,Artur Wiśniewski,1.0
ProgressIndicator,04-komponenty-bazowe/komponenty/progressindicator.md,20.10,1,used,,Artur Wiśniewski,1.0
RadioGroup,04-komponenty-bazowe/komponenty/radiogroup.md,25.02,1,used,,Artur Wiśniewski,1.0
RecommendationCard,04-komponenty-domenowe/recommendation-card.md,80.03,1,used,,Artur Wiśniewski,1.0
ReconciliationPanel,04-komponenty-domenowe/reconciliation-panel.md,41.09,1,used,,Artur Wiśniewski,1.0
ResultDrivers,04-komponenty-domenowe/result-drivers.md,30.05,1,used,,Artur Wiśniewski,1.0
SalesFunnel,04-komponenty-domenowe/sales-funnel.md,35.03,1,used,,Artur Wiśniewski,1.0
SalesSources,04-komponenty-domenowe/sales-sources.md,30.06,1,used,,Artur Wiśniewski,1.0
SearchField,04-komponenty-bazowe/komponenty/searchfield.md,25.02,1,used,,Artur Wiśniewski,1.0
SectionIntro,04-komponenty-bazowe/komponenty/sectionintro.md,20.01,1,used,,Artur Wiśniewski,1.0
SectionNavigation,04-komponenty-bazowe/komponenty/sectionnavigation.md,20.01,1,used,,Artur Wiśniewski,1.0
Select,04-komponenty-bazowe/komponenty/select.md,25.02|30.03|30.10|30.14|32.04|33.04|33.08|35.05|35.07|40.02|40.07|40.08|41.08|60.02|70.03|70.05|70.08|85.05,18,used,,Artur Wiśniewski,1.0
ShareChart,05-wykresy-i-wizualizacje/komponenty/sharechart.md,30.04|30.05|30.06|30.07|30.09|31.03|31.04|32.01|33.02|33.03|33.06|34.02|34.07|35.02|35.04|35.08|41.05|50.06|50.08,19,used,,Artur Wiśniewski,1.0
Skeleton,04-komponenty-bazowe/komponenty/skeleton.md,20.10,1,used,,Artur Wiśniewski,1.0
Spinner,04-komponenty-bazowe/komponenty/spinner.md,20.10,1,used,,Artur Wiśniewski,1.0
StatusBadge,04-komponenty-bazowe/komponenty/statusbadge.md,30.01,1,used,,Artur Wiśniewski,1.0
Switch,04-komponenty-bazowe/komponenty/switch.md,25.02,1,used,,Artur Wiśniewski,1.0
SyncTimeline,04-komponenty-domenowe/sync-timeline.md,40.04,1,used,,Artur Wiśniewski,1.0
Tabs,04-komponenty-bazowe/komponenty/tabs.md,20.01|30.03|30.05|30.07|30.08|30.10|30.12|30.13|31.01|31.02|31.03|31.08|32.01|32.03|33.01|33.02|33.03|33.06|33.08|33.09|34.04|35.03|35.04|35.06|40.03|40.06|50.04|50.09|60.07|80.06|80.08|85.01|85.02|85.03|85.04,35,used,,Artur Wiśniewski,1.0
TextAction,04-komponenty-bazowe/komponenty/textaction.md,30.01,1,used,,Artur Wiśniewski,1.0
TextArea,04-komponenty-bazowe/komponenty/textarea.md,30.01,1,used,,Artur Wiśniewski,1.0
TextField,04-komponenty-bazowe/komponenty/textfield.md,25.02|30.03|30.10|30.14|32.04|33.04|33.08|35.05|35.07|40.02|40.07|40.08|41.08|60.02|70.03|70.05|70.08|85.05,18,used,,Artur Wiśniewski,1.0
Toast,04-komponenty-bazowe/komponenty/toast.md,20.10,1,used,,Artur Wiśniewski,1.0
Tooltip,04-komponenty-bazowe/komponenty/tooltip.md,20.10,1,used,,Artur Wiśniewski,1.0
TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,30.02|30.03|30.04|30.11|30.13|30.14|31.01|31.02|31.03|31.05|31.07|32.01|33.01|33.06|33.07|33.08|34.01|34.02|34.07|35.01|35.05|40.01|40.08|41.07|50.01|50.03|50.04|50.09|50.10|50.14|70.01|70.02|70.03|70.08|70.09|80.02|80.03|80.07,38,used,,Artur Wiśniewski,1.0
VerificationCodeInput,04-komponenty-bazowe/komponenty/verificationcodeinput.md,25.02,1,used,,Artur Wiśniewski,1.0
WaterfallChart,05-wykresy-i-wizualizacje/komponenty/waterfallchart.md,30.04|30.13,2,used,,Artur Wiśniewski,1.0
