screen,component,relation
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/menu.md,required
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,04-komponenty-bazowe/komponenty/nipfield.md,required
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,04-komponenty-bazowe/komponenty/numberfield.md,required
06-powloka-produktu-i-nawigacja/20-01-appshell.md,04-komponenty-bazowe/komponenty/pageheader.md,required
06-powloka-produktu-i-nawigacja/20-01-appshell.md,04-komponenty-bazowe/komponenty/pagination.md,required
06-powloka-produktu-i-nawigacja/20-01-appshell.md,04-komponenty-bazowe/komponenty/paginationnav.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/panel.md,required
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,04-komponenty-bazowe/komponenty/passwordfield.md,required
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/popover.md,required
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/progressindicator.md,required
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,04-komponenty-bazowe/komponenty/radiogroup.md,required
07-centrum-dowodzenia/30-02-kolejka-uwagi.md,04-komponenty-bazowe/komponenty/recommendationcard.md,required
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,04-komponenty-bazowe/komponenty/searchfield.md,required
06-powloka-produktu-i-nawigacja/20-01-appshell.md,04-komponenty-bazowe/komponenty/sectionintro.md,required
06-powloka-produktu-i-nawigacja/20-01-appshell.md,04-komponenty-bazowe/komponenty/sectionnavigation.md,required
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,04-komponenty-bazowe/komponenty/select.md,required
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/skeleton.md,required
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/spinner.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/statusbadge.md,required
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,04-komponenty-bazowe/komponenty/switch.md,required
06-powloka-produktu-i-nawigacja/20-01-appshell.md,04-komponenty-bazowe/komponenty/tabs.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/textaction.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/textarea.md,required
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,04-komponenty-bazowe/komponenty/textfield.md,required
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/toast.md,required
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/tooltip.md,required
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,04-komponenty-bazowe/komponenty/verificationcodeinput.md,required
07-centrum-dowodzenia/30-04-plan-vs-wynik.md,04-komponenty-domenowe/attribution-comparison.md,required
07-centrum-dowodzenia/30-02-kolejka-uwagi.md,04-komponenty-domenowe/budget-pacing.md,required
07-centrum-dowodzenia/30-04-plan-vs-wynik.md,04-komponenty-domenowe/cohort-matrix.md,required
07-centrum-dowodzenia/30-02-kolejka-uwagi.md,04-komponenty-domenowe/customer-segments.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-domenowe/data-status-banner.md,required
07-centrum-dowodzenia/30-02-kolejka-uwagi.md,04-komponenty-domenowe/decision-queue.md,required
07-centrum-dowodzenia/30-02-kolejka-uwagi.md,04-komponenty-domenowe/evidence-panel.md,required
07-centrum-dowodzenia/30-04-plan-vs-wynik.md,04-komponenty-domenowe/funnel-step.md,required
13-integracje-i-synchronizacja/40-01-katalog-integracji.md,04-komponenty-domenowe/lineage-graph.md,required
07-centrum-dowodzenia/30-02-kolejka-uwagi.md,04-komponenty-domenowe/morning-brief.md,required
13-integracje-i-synchronizacja/40-01-katalog-integracji.md,04-komponenty-domenowe/pairing-flow.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-domenowe/plan-performance.md,required
07-centrum-dowodzenia/30-02-kolejka-uwagi.md,04-komponenty-domenowe/recommendation-card.md,required
13-integracje-i-synchronizacja/40-01-katalog-integracji.md,04-komponenty-domenowe/reconciliation-panel.md,required
07-centrum-dowodzenia/30-02-kolejka-uwagi.md,04-komponenty-domenowe/result-drivers.md,required
07-centrum-dowodzenia/30-04-plan-vs-wynik.md,04-komponenty-domenowe/sales-funnel.md,required
07-centrum-dowodzenia/30-02-kolejka-uwagi.md,04-komponenty-domenowe/sales-sources.md,required
13-integracje-i-synchronizacja/40-01-katalog-integracji.md,04-komponenty-domenowe/sync-timeline.md,required
07-centrum-dowodzenia/30-04-plan-vs-wynik.md,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
07-centrum-dowodzenia/30-04-plan-vs-wynik.md,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,required
07-centrum-dowodzenia/30-04-plan-vs-wynik.md,05-wykresy-i-wizualizacje/komponenty/correlationchart.md,required
07-centrum-dowodzenia/30-04-plan-vs-wynik.md,05-wykresy-i-wizualizacje/komponenty/forecastchart.md,required
07-centrum-dowodzenia/30-04-plan-vs-wynik.md,05-wykresy-i-wizualizacje/komponenty/funnelchart.md,required
07-centrum-dowodzenia/30-04-plan-vs-wynik.md,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
07-centrum-dowodzenia/30-04-plan-vs-wynik.md,05-wykresy-i-wizualizacje/komponenty/sharechart.md,required
07-centrum-dowodzenia/30-04-plan-vs-wynik.md,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
07-centrum-dowodzenia/30-04-plan-vs-wynik.md,05-wykresy-i-wizualizacje/komponenty/waterfallchart.md,required
