schema_name,operation_id,direction,definition_file,root_type,required_fields,status,owner,version
AuthAccountLinkRequest,auth.account.link,request,contracts/api-schemas.json,AuthAccountLinkRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthAccountLinkResponse,auth.account.link,response,contracts/api-schemas.json,AuthAccountLinkResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthConsentsAcceptRequest,auth.consents.accept,request,contracts/api-schemas.json,AuthConsentsAcceptRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthConsentsAcceptResponse,auth.consents.accept,response,contracts/api-schemas.json,AuthConsentsAcceptResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthEmailResendRequest,auth.email.resend,request,contracts/api-schemas.json,AuthEmailResendRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthEmailResendResponse,auth.email.resend,response,contracts/api-schemas.json,AuthEmailResendResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthEmailVerifyRequest,auth.email.verify,request,contracts/api-schemas.json,AuthEmailVerifyRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthEmailVerifyResponse,auth.email.verify,response,contracts/api-schemas.json,AuthEmailVerifyResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthLoginRequest,auth.login,request,contracts/api-schemas.json,AuthLoginRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthLoginResponse,auth.login,response,contracts/api-schemas.json,AuthLoginResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthLogoutRequest,auth.logout,request,contracts/api-schemas.json,AuthLogoutRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthLogoutResponse,auth.logout,response,contracts/api-schemas.json,AuthLogoutResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthMfaConfirmRequest,auth.mfa.confirm,request,contracts/api-schemas.json,AuthMfaConfirmRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthMfaConfirmResponse,auth.mfa.confirm,response,contracts/api-schemas.json,AuthMfaConfirmResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthMfaEnrollRequest,auth.mfa.enroll,request,contracts/api-schemas.json,AuthMfaEnrollRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthMfaEnrollResponse,auth.mfa.enroll,response,contracts/api-schemas.json,AuthMfaEnrollResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthMfaVerifyRequest,auth.mfa.verify,request,contracts/api-schemas.json,AuthMfaVerifyRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthMfaVerifyResponse,auth.mfa.verify,response,contracts/api-schemas.json,AuthMfaVerifyResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthOauthCallbackRequest,auth.oauth.callback,request,contracts/api-schemas.json,AuthOauthCallbackRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthOauthCallbackResponse,auth.oauth.callback,response,contracts/api-schemas.json,AuthOauthCallbackResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthOauthStartRequest,auth.oauth.start,request,contracts/api-schemas.json,AuthOauthStartRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthOauthStartResponse,auth.oauth.start,response,contracts/api-schemas.json,AuthOauthStartResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthPasswordRecoveryRequestRequest,auth.password.recovery.request,request,contracts/api-schemas.json,AuthPasswordRecoveryRequestRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthPasswordRecoveryRequestResponse,auth.password.recovery.request,response,contracts/api-schemas.json,AuthPasswordRecoveryRequestResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthPasswordRecoveryTokenValidateRequest,auth.password.recovery.token.validate,request,contracts/api-schemas.json,AuthPasswordRecoveryTokenValidateRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthPasswordRecoveryTokenValidateResponse,auth.password.recovery.token.validate,response,contracts/api-schemas.json,AuthPasswordRecoveryTokenValidateResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthPasswordResetRequest,auth.password.reset,request,contracts/api-schemas.json,AuthPasswordResetRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthPasswordResetResponse,auth.password.reset,response,contracts/api-schemas.json,AuthPasswordResetResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthReauthenticateRequest,auth.reauthenticate,request,contracts/api-schemas.json,AuthReauthenticateRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthReauthenticateResponse,auth.reauthenticate,response,contracts/api-schemas.json,AuthReauthenticateResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthRegisterEmailRequest,auth.register.email,request,contracts/api-schemas.json,AuthRegisterEmailRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthRegisterEmailResponse,auth.register.email,response,contracts/api-schemas.json,AuthRegisterEmailResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthRegistrationFinalizeRequest,auth.registration.finalize,request,contracts/api-schemas.json,AuthRegistrationFinalizeRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthRegistrationFinalizeResponse,auth.registration.finalize,response,contracts/api-schemas.json,AuthRegistrationFinalizeResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthSessionReadRequest,auth.session.read,request,contracts/api-schemas.json,AuthSessionReadRequest,context,approved-target,Artur Wiśniewski,1.0
AuthSessionReadResponse,auth.session.read,response,contracts/api-schemas.json,AuthSessionReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthStatusReadRequest,auth.status.read,request,contracts/api-schemas.json,AuthStatusReadRequest,context,approved-target,Artur Wiśniewski,1.0
AuthStatusReadResponse,auth.status.read,response,contracts/api-schemas.json,AuthStatusReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingAdjustmentsReadRequest,billing.adjustments.read,request,contracts/api-schemas.json,BillingAdjustmentsReadRequest,context,approved-target,Artur Wiśniewski,1.0
BillingAdjustmentsReadResponse,billing.adjustments.read,response,contracts/api-schemas.json,BillingAdjustmentsReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingChangeCancelReadRequest,billing.change-cancel.read,request,contracts/api-schemas.json,BillingChangeCancelReadRequest,context,approved-target,Artur Wiśniewski,1.0
BillingChangeCancelReadResponse,billing.change-cancel.read,response,contracts/api-schemas.json,BillingChangeCancelReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingEntitlementsReadRequest,billing.entitlements.read,request,contracts/api-schemas.json,BillingEntitlementsReadRequest,context,approved-target,Artur Wiśniewski,1.0
BillingEntitlementsReadResponse,billing.entitlements.read,response,contracts/api-schemas.json,BillingEntitlementsReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingInvoicesReadRequest,billing.invoices.read,request,contracts/api-schemas.json,BillingInvoicesReadRequest,context,approved-target,Artur Wiśniewski,1.0
BillingInvoicesReadResponse,billing.invoices.read,response,contracts/api-schemas.json,BillingInvoicesReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingOverduePaymentReadRequest,billing.overdue-payment.read,request,contracts/api-schemas.json,BillingOverduePaymentReadRequest,context,approved-target,Artur Wiśniewski,1.0
BillingOverduePaymentReadResponse,billing.overdue-payment.read,response,contracts/api-schemas.json,BillingOverduePaymentReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingOverdueResolveRequest,billing.overdue.resolve,request,contracts/api-schemas.json,BillingOverdueResolveRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
BillingOverdueResolveResponse,billing.overdue.resolve,response,contracts/api-schemas.json,BillingOverdueResolveResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingPaymentMethodUpdateRequest,billing.payment.method.update,request,contracts/api-schemas.json,BillingPaymentMethodUpdateRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
BillingPaymentMethodUpdateResponse,billing.payment.method.update,response,contracts/api-schemas.json,BillingPaymentMethodUpdateResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingPaymentsReadRequest,billing.payments.read,request,contracts/api-schemas.json,BillingPaymentsReadRequest,context,approved-target,Artur Wiśniewski,1.0
BillingPaymentsReadResponse,billing.payments.read,response,contracts/api-schemas.json,BillingPaymentsReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingPilotToSubscriptionReadRequest,billing.pilot-to-subscription.read,request,contracts/api-schemas.json,BillingPilotToSubscriptionReadRequest,context,approved-target,Artur Wiśniewski,1.0
BillingPilotToSubscriptionReadResponse,billing.pilot-to-subscription.read,response,contracts/api-schemas.json,BillingPilotToSubscriptionReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingPilotReadRequest,billing.pilot.read,request,contracts/api-schemas.json,BillingPilotReadRequest,context,approved-target,Artur Wiśniewski,1.0
BillingPilotReadResponse,billing.pilot.read,response,contracts/api-schemas.json,BillingPilotReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingPlanSelectRequest,billing.plan.select,request,contracts/api-schemas.json,BillingPlanSelectRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
BillingPlanSelectResponse,billing.plan.select,response,contracts/api-schemas.json,BillingPlanSelectResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingPlansReadRequest,billing.plans.read,request,contracts/api-schemas.json,BillingPlansReadRequest,context,approved-target,Artur Wiśniewski,1.0
BillingPlansReadResponse,billing.plans.read,response,contracts/api-schemas.json,BillingPlansReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingReadRequest,billing.read,request,contracts/api-schemas.json,BillingReadRequest,context,approved-target,Artur Wiśniewski,1.0
BillingReadResponse,billing.read,response,contracts/api-schemas.json,BillingReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingSubscriptionActivateRequest,billing.subscription.activate,request,contracts/api-schemas.json,BillingSubscriptionActivateRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
BillingSubscriptionActivateResponse,billing.subscription.activate,response,contracts/api-schemas.json,BillingSubscriptionActivateResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingSubscriptionReadRequest,billing.subscription.read,request,contracts/api-schemas.json,BillingSubscriptionReadRequest,context,approved-target,Artur Wiśniewski,1.0
BillingSubscriptionReadResponse,billing.subscription.read,response,contracts/api-schemas.json,BillingSubscriptionReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingUsageLimitsReadRequest,billing.usage-limits.read,request,contracts/api-schemas.json,BillingUsageLimitsReadRequest,context,approved-target,Artur Wiśniewski,1.0
BillingUsageLimitsReadResponse,billing.usage-limits.read,response,contracts/api-schemas.json,BillingUsageLimitsReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
BillingWriteRequest,billing.write,request,contracts/api-schemas.json,BillingWriteRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
BillingWriteResponse,billing.write,response,contracts/api-schemas.json,BillingWriteResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CampaignsAttributionSalesReadRequest,campaigns.attribution-sales.read,request,contracts/api-schemas.json,CampaignsAttributionSalesReadRequest,context,approved-target,Artur Wiśniewski,1.0
CampaignsAttributionSalesReadResponse,campaigns.attribution-sales.read,response,contracts/api-schemas.json,CampaignsAttributionSalesReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CampaignsBudgetChangeProposeRequest,campaigns.budget.change.propose,request,contracts/api-schemas.json,CampaignsBudgetChangeProposeRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
CampaignsBudgetChangeProposeResponse,campaigns.budget.change.propose,response,contracts/api-schemas.json,CampaignsBudgetChangeProposeResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CampaignsBudgetReadRequest,campaigns.budget.read,request,contracts/api-schemas.json,CampaignsBudgetReadRequest,context,approved-target,Artur Wiśniewski,1.0
CampaignsBudgetReadResponse,campaigns.budget.read,response,contracts/api-schemas.json,CampaignsBudgetReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CampaignsBudgetRecommendationReadRequest,campaigns.budget.recommendation.read,request,contracts/api-schemas.json,CampaignsBudgetRecommendationReadRequest,context,approved-target,Artur Wiśniewski,1.0
CampaignsBudgetRecommendationReadResponse,campaigns.budget.recommendation.read,response,contracts/api-schemas.json,CampaignsBudgetRecommendationReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CampaignsDetailReadRequest,campaigns.detail.read,request,contracts/api-schemas.json,CampaignsDetailReadRequest,context|campaignId,approved-target,Artur Wiśniewski,1.0
CampaignsDetailReadResponse,campaigns.detail.read,response,contracts/api-schemas.json,CampaignsDetailReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CampaignsDiagnosticsReadRequest,campaigns.diagnostics.read,request,contracts/api-schemas.json,CampaignsDiagnosticsReadRequest,context,approved-target,Artur Wiśniewski,1.0
CampaignsDiagnosticsReadResponse,campaigns.diagnostics.read,response,contracts/api-schemas.json,CampaignsDiagnosticsReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CampaignsListReadRequest,campaigns.list.read,request,contracts/api-schemas.json,CampaignsListReadRequest,context,approved-target,Artur Wiśniewski,1.0
CampaignsListReadResponse,campaigns.list.read,response,contracts/api-schemas.json,CampaignsListReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CampaignsOverviewReadRequest,campaigns.overview.read,request,contracts/api-schemas.json,CampaignsOverviewReadRequest,context,approved-target,Artur Wiśniewski,1.0
CampaignsOverviewReadResponse,campaigns.overview.read,response,contracts/api-schemas.json,CampaignsOverviewReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CampaignsReadRequest,campaigns.read,request,contracts/api-schemas.json,CampaignsReadRequest,context,approved-target,Artur Wiśniewski,1.0
CampaignsReadResponse,campaigns.read,response,contracts/api-schemas.json,CampaignsReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CampaignsRecommendationsReadRequest,campaigns.recommendations.read,request,contracts/api-schemas.json,CampaignsRecommendationsReadRequest,context,approved-target,Artur Wiśniewski,1.0
CampaignsRecommendationsReadResponse,campaigns.recommendations.read,response,contracts/api-schemas.json,CampaignsRecommendationsReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CampaignsWriteRequest,campaigns.write,request,contracts/api-schemas.json,CampaignsWriteRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
CampaignsWriteResponse,campaigns.write,response,contracts/api-schemas.json,CampaignsWriteResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterAiRecommendationsReadRequest,command-center.ai-recommendations.read,request,contracts/api-schemas.json,CommandCenterAiRecommendationsReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterAiRecommendationsReadResponse,command-center.ai-recommendations.read,response,contracts/api-schemas.json,CommandCenterAiRecommendationsReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterAttentionQueueReadRequest,command-center.attention.queue.read,request,contracts/api-schemas.json,CommandCenterAttentionQueueReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterAttentionQueueReadResponse,command-center.attention.queue.read,response,contracts/api-schemas.json,CommandCenterAttentionQueueReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterCustomersSummaryReadRequest,command-center.customers-summary.read,request,contracts/api-schemas.json,CommandCenterCustomersSummaryReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterCustomersSummaryReadResponse,command-center.customers-summary.read,response,contracts/api-schemas.json,CommandCenterCustomersSummaryReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterDriversReadRequest,command-center.drivers.read,request,contracts/api-schemas.json,CommandCenterDriversReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterDriversReadResponse,command-center.drivers.read,response,contracts/api-schemas.json,CommandCenterDriversReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterFunnelReadRequest,command-center.funnel.read,request,contracts/api-schemas.json,CommandCenterFunnelReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterFunnelReadResponse,command-center.funnel.read,response,contracts/api-schemas.json,CommandCenterFunnelReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterKpiReadRequest,command-center.kpi.read,request,contracts/api-schemas.json,CommandCenterKpiReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterKpiReadResponse,command-center.kpi.read,response,contracts/api-schemas.json,CommandCenterKpiReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterOverviewReadRequest,command-center.overview.read,request,contracts/api-schemas.json,CommandCenterOverviewReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterOverviewReadResponse,command-center.overview.read,response,contracts/api-schemas.json,CommandCenterOverviewReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterPlanPerformanceReadRequest,command-center.plan-performance.read,request,contracts/api-schemas.json,CommandCenterPlanPerformanceReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterPlanPerformanceReadResponse,command-center.plan-performance.read,response,contracts/api-schemas.json,CommandCenterPlanPerformanceReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterProductsSummaryReadRequest,command-center.products-summary.read,request,contracts/api-schemas.json,CommandCenterProductsSummaryReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterProductsSummaryReadResponse,command-center.products-summary.read,response,contracts/api-schemas.json,CommandCenterProductsSummaryReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterReadRequest,command-center.read,request,contracts/api-schemas.json,CommandCenterReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterReadResponse,command-center.read,response,contracts/api-schemas.json,CommandCenterReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterSalesSignalsReadRequest,command-center.sales-signals.read,request,contracts/api-schemas.json,CommandCenterSalesSignalsReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterSalesSignalsReadResponse,command-center.sales-signals.read,response,contracts/api-schemas.json,CommandCenterSalesSignalsReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterSalesSourcesReadRequest,command-center.sales-sources.read,request,contracts/api-schemas.json,CommandCenterSalesSourcesReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterSalesSourcesReadResponse,command-center.sales-sources.read,response,contracts/api-schemas.json,CommandCenterSalesSourcesReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterTrafficSummaryReadRequest,command-center.traffic-summary.read,request,contracts/api-schemas.json,CommandCenterTrafficSummaryReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterTrafficSummaryReadResponse,command-center.traffic-summary.read,response,contracts/api-schemas.json,CommandCenterTrafficSummaryReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterWaterfallReadRequest,command-center.waterfall.read,request,contracts/api-schemas.json,CommandCenterWaterfallReadRequest,context,approved-target,Artur Wiśniewski,1.0
CommandCenterWaterfallReadResponse,command-center.waterfall.read,response,contracts/api-schemas.json,CommandCenterWaterfallReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CommandCenterWriteRequest,command-center.write,request,contracts/api-schemas.json,CommandCenterWriteRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
CommandCenterWriteResponse,command-center.write,response,contracts/api-schemas.json,CommandCenterWriteResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CompanyDraftUpdateRequest,company.draft.update,request,contracts/api-schemas.json,CompanyDraftUpdateRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
CompanyDraftUpdateResponse,company.draft.update,response,contracts/api-schemas.json,CompanyDraftUpdateResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CompanyLookupRequest,company.lookup,request,contracts/api-schemas.json,CompanyLookupRequest,context,approved-target,Artur Wiśniewski,1.0
CompanyLookupResponse,company.lookup,response,contracts/api-schemas.json,CompanyLookupResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CustomersCohortsReadRequest,customers.cohorts.read,request,contracts/api-schemas.json,CustomersCohortsReadRequest,context,approved-target,Artur Wiśniewski,1.0
CustomersCohortsReadResponse,customers.cohorts.read,response,contracts/api-schemas.json,CustomersCohortsReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CustomersIdentityConflictsReadRequest,customers.identity-conflicts.read,request,contracts/api-schemas.json,CustomersIdentityConflictsReadRequest,context,approved-target,Artur Wiśniewski,1.0
CustomersIdentityConflictsReadResponse,customers.identity-conflicts.read,response,contracts/api-schemas.json,CustomersIdentityConflictsReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CustomersImpactReadRequest,customers.impact.read,request,contracts/api-schemas.json,CustomersImpactReadRequest,context,approved-target,Artur Wiśniewski,1.0
CustomersImpactReadResponse,customers.impact.read,response,contracts/api-schemas.json,CustomersImpactReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CustomersOverviewReadRequest,customers.overview.read,request,contracts/api-schemas.json,CustomersOverviewReadRequest,context,approved-target,Artur Wiśniewski,1.0
CustomersOverviewReadResponse,customers.overview.read,response,contracts/api-schemas.json,CustomersOverviewReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CustomersPrivacyReadRequest,customers.privacy.read,request,contracts/api-schemas.json,CustomersPrivacyReadRequest,context,approved-target,Artur Wiśniewski,1.0
CustomersPrivacyReadResponse,customers.privacy.read,response,contracts/api-schemas.json,CustomersPrivacyReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CustomersPseudonymizedDetailReadRequest,customers.pseudonymized-detail.read,request,contracts/api-schemas.json,CustomersPseudonymizedDetailReadRequest,context|customerPseudonym,approved-target,Artur Wiśniewski,1.0
CustomersPseudonymizedDetailReadResponse,customers.pseudonymized-detail.read,response,contracts/api-schemas.json,CustomersPseudonymizedDetailReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
CustomersReadRequest,customers.read,request,contracts/api-schemas.json,CustomersReadRequest,context,approved-target,Artur Wiśniewski,1.0
CustomersReadResponse,customers.read,response,contracts/api-schemas.json,CustomersReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
