operation_id,domain,kind,method,bff_route,service_route,capability,request_schema,response_schema,contract_file,status,canonical_operation_id,alias_of,screen_id,screen_name,description,owner
auth.registration.finalize,auth,job,POST,/api/v1/auth/registration/finalize,/v1/auth/registration/finalize,auth.write,AuthRegistrationFinalizeRequest,AuthRegistrationFinalizeResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.registration.finalize,,,,Finalizacja rejestracji i utworzenie kontekstu dostępu,Artur Wiśniewski
auth.session.read,auth,query,GET,/api/v1/auth/session,/v1/auth/session,auth.read,AuthSessionReadRequest,AuthSessionReadResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.session.read,,,,odczyt kontekstu sesji,Artur Wiśniewski
auth.status.read,auth,query,GET,/api/v1/auth/status,/v1/auth/status,auth.read,AuthStatusReadRequest,AuthStatusReadResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.status.read,,,,stan usługi auth,Artur Wiśniewski
billing.adjustments.read,billing,query,GET,/api/v1/billing/korekty,/v1/billing/korekty,billing.read,BillingAdjustmentsReadRequest,BillingAdjustmentsReadResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.adjustments.read,,70.07,Korekty,Odczyt view modelu powierzchni Korekty; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
billing.change-cancel.read,billing,query,GET,/api/v1/billing/zmiana-i-anulowanie,/v1/billing/zmiana-i-anulowanie,billing.read,BillingChangeCancelReadRequest,BillingChangeCancelReadResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.change-cancel.read,,70.08,Zmiana i anulowanie,Odczyt view modelu powierzchni Zmiana i anulowanie; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
billing.entitlements.read,billing,query,GET,/api/v1/billing/entitlements,/v1/billing/entitlements,billing.read,BillingEntitlementsReadRequest,BillingEntitlementsReadResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.entitlements.read,,,,uprawnienia abonamentu,Artur Wiśniewski
billing.invoices.read,billing,query,GET,/api/v1/billing/faktury,/v1/billing/faktury,billing.read,BillingInvoicesReadRequest,BillingInvoicesReadResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.invoices.read,,70.04,Faktury,Odczyt view modelu powierzchni Faktury; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
billing.overdue-payment.read,billing,query,GET,/api/v1/billing/zalegla-platnosc,/v1/billing/zalegla-platnosc,billing.read,BillingOverduePaymentReadRequest,BillingOverduePaymentReadResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.overdue-payment.read,,70.06,Zaległa płatność,Odczyt view modelu powierzchni Zaległa płatność; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
billing.overdue.resolve,billing,command,POST,/api/v1/billing/overdue/resolve,/v1/billing/overdue/resolve,billing.write,BillingOverdueResolveRequest,BillingOverdueResolveResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.overdue.resolve,,,,odblokowanie po zaległej płatności,Artur Wiśniewski
billing.payment.method.update,billing,command,PUT,/api/v1/billing/payment-method,/v1/billing/payment-method,billing.write,BillingPaymentMethodUpdateRequest,BillingPaymentMethodUpdateResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.payment.method.update,,,,aktualizacja metody płatności,Artur Wiśniewski
billing.payments.read,billing,query,GET,/api/v1/billing/platnosci,/v1/billing/platnosci,billing.read,BillingPaymentsReadRequest,BillingPaymentsReadResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.payments.read,,70.05,Płatności,Odczyt view modelu powierzchni Płatności; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
billing.pilot-to-subscription.read,billing,query,GET,/api/v1/billing/pilot-do-abonamentu,/v1/billing/pilot-do-abonamentu,billing.read,BillingPilotToSubscriptionReadRequest,BillingPilotToSubscriptionReadResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.pilot-to-subscription.read,,70.09,Pilot do abonamentu,Odczyt view modelu powierzchni Pilot do abonamentu; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
billing.pilot.read,billing,query,GET,/api/v1/billing/pilot,/v1/billing/pilot,billing.read,BillingPilotReadRequest,BillingPilotReadResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.pilot.read,,,,pilot i dowód wartości,Artur Wiśniewski
billing.plan.select,billing,command,POST,/api/v1/billing/plan/select,/v1/billing/plan/select,billing.write,BillingPlanSelectRequest,BillingPlanSelectResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.plan.select,,,,wybór planu,Artur Wiśniewski
billing.plans.read,billing,query,GET,/api/v1/billing/plany,/v1/billing/plany,billing.read,BillingPlansReadRequest,BillingPlansReadResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.plans.read,,70.03,Plany,Odczyt view modelu powierzchni Plany; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
billing.read,billing,query,GET,/api/v1/billing/read,/v1/billing/read,billing.read,BillingReadRequest,BillingReadResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.read,,,,bazowy odczyt domeny billing,Artur Wiśniewski
billing.subscription.activate,billing,command,POST,/api/v1/billing/subscription/activate,/v1/billing/subscription/activate,billing.write,BillingSubscriptionActivateRequest,BillingSubscriptionActivateResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.subscription.activate,,,,aktywacja abonamentu,Artur Wiśniewski
billing.subscription.read,billing,query,GET,/api/v1/billing/subskrypcja,/v1/billing/subskrypcja,billing.read,BillingSubscriptionReadRequest,BillingSubscriptionReadResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.subscription.read,,70.01,Subskrypcja,Odczyt view modelu powierzchni Subskrypcja; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
billing.usage-limits.read,billing,query,GET,/api/v1/billing/uzycie-i-limity,/v1/billing/uzycie-i-limity,billing.read,BillingUsageLimitsReadRequest,BillingUsageLimitsReadResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.usage-limits.read,,70.02,Użycie i limity,Odczyt view modelu powierzchni Użycie i limity; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
billing.write,billing,command,POST,/api/v1/billing/write,/v1/billing/write,billing.write,BillingWriteRequest,BillingWriteResponse,25-kontrakty-domenowe-i-api/billing.md,approved-target,billing.write,,,,bazowa operacja zapisu domeny billing,Artur Wiśniewski
campaigns.attribution-sales.read,campaigns,query,GET,/api/v1/campaigns/atrybucja-i-sprzedaz,/v1/campaigns/atrybucja-i-sprzedaz,campaigns.read,CampaignsAttributionSalesReadRequest,CampaignsAttributionSalesReadResponse,25-kontrakty-domenowe-i-api/campaigns.md,approved-target,campaigns.attribution-sales.read,,31.04,Atrybucja i sprzedaż,Odczyt view modelu powierzchni Atrybucja i sprzedaż; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
campaigns.budget.change.propose,campaigns,command,POST,/api/v1/campaigns/budget/proposals,/v1/campaigns/budget/proposals,campaigns.write,CampaignsBudgetChangeProposeRequest,CampaignsBudgetChangeProposeResponse,25-kontrakty-domenowe-i-api/campaigns.md,approved-target,campaigns.budget.change.propose,,,,propozycja zmiany budżetu,Artur Wiśniewski
campaigns.budget.read,campaigns,query,GET,/api/v1/campaigns/budzet,/v1/campaigns/budzet,campaigns.read,CampaignsBudgetReadRequest,CampaignsBudgetReadResponse,25-kontrakty-domenowe-i-api/campaigns.md,approved-target,campaigns.budget.read,,31.05,Budżet,Odczyt view modelu powierzchni Budżet; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
campaigns.budget.recommendation.read,campaigns,query,GET,/api/v1/campaigns/budget/recommendation,/v1/campaigns/budget/recommendation,campaigns.read,CampaignsBudgetRecommendationReadRequest,CampaignsBudgetRecommendationReadResponse,25-kontrakty-domenowe-i-api/campaigns.md,approved-target,campaigns.budget.recommendation.read,,,,rekomendacja budżetowa,Artur Wiśniewski
campaigns.detail.read,campaigns,query,GET,/api/v1/campaigns/szczegoly-kampanii,/v1/campaigns/szczegoly-kampanii,campaigns.read,CampaignsDetailReadRequest,CampaignsDetailReadResponse,25-kontrakty-domenowe-i-api/campaigns.md,approved-target,campaigns.detail.read,,31.03,Szczegóły kampanii,Odczyt view modelu powierzchni Szczegóły kampanii; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
campaigns.diagnostics.read,campaigns,query,GET,/api/v1/campaigns/diagnostyka,/v1/campaigns/diagnostyka,campaigns.read,CampaignsDiagnosticsReadRequest,CampaignsDiagnosticsReadResponse,25-kontrakty-domenowe-i-api/campaigns.md,approved-target,campaigns.diagnostics.read,,31.06,Diagnostyka,Odczyt view modelu powierzchni Diagnostyka; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
campaigns.list.read,campaigns,query,GET,/api/v1/campaigns/lista-kampanii,/v1/campaigns/lista-kampanii,campaigns.read,CampaignsListReadRequest,CampaignsListReadResponse,25-kontrakty-domenowe-i-api/campaigns.md,approved-target,campaigns.list.read,,31.02,Lista kampanii,Odczyt view modelu powierzchni Lista kampanii; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
campaigns.overview.read,campaigns,query,GET,/api/v1/campaigns/przeglad,/v1/campaigns/przeglad,campaigns.read,CampaignsOverviewReadRequest,CampaignsOverviewReadResponse,25-kontrakty-domenowe-i-api/campaigns.md,approved-target,campaigns.overview.read,,31.01,Przegląd,Odczyt view modelu powierzchni Przegląd; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
campaigns.read,campaigns,query,GET,/api/v1/campaigns/read,/v1/campaigns/read,campaigns.read,CampaignsReadRequest,CampaignsReadResponse,25-kontrakty-domenowe-i-api/campaigns.md,approved-target,campaigns.read,,,,bazowy odczyt domeny campaigns,Artur Wiśniewski
campaigns.recommendations.read,campaigns,query,GET,/api/v1/campaigns/rekomendacje-kontekst-domenowy,/v1/campaigns/rekomendacje-kontekst-domenowy,campaigns.read,CampaignsRecommendationsReadRequest,CampaignsRecommendationsReadResponse,25-kontrakty-domenowe-i-api/campaigns.md,approved-target,campaigns.recommendations.read,,31.07,Rekomendacje — kontekst domenowy,Odczyt view modelu powierzchni Rekomendacje — kontekst domenowy; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
campaigns.write,campaigns,command,POST,/api/v1/campaigns/write,/v1/campaigns/write,campaigns.write,CampaignsWriteRequest,CampaignsWriteResponse,25-kontrakty-domenowe-i-api/campaigns.md,approved-target,campaigns.write,,,,bazowa operacja zapisu domeny campaigns,Artur Wiśniewski
command-center.ai-recommendations.read,command-center,query,GET,/api/v1/command-center/rekomendacje-ai-skrot,/v1/command-center/rekomendacje-ai-skrot,analytics.read,CommandCenterAiRecommendationsReadRequest,CommandCenterAiRecommendationsReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.ai-recommendations.read,,30.11,Rekomendacje AI — skrót,Odczyt view modelu powierzchni Rekomendacje AI — skrót; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
command-center.attention.queue.read,command-center,query,GET,/api/v1/command-center/kolejka-uwagi,/v1/command-center/kolejka-uwagi,analytics.read,CommandCenterAttentionQueueReadRequest,CommandCenterAttentionQueueReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.attention.queue.read,,30.02,Kolejka uwagi,Odczyt view modelu powierzchni Kolejka uwagi; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
command-center.customers-summary.read,command-center,query,GET,/api/v1/command-center/klienci,/v1/command-center/klienci,analytics.read,CommandCenterCustomersSummaryReadRequest,CommandCenterCustomersSummaryReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.customers-summary.read,,30.09,Klienci,Odczyt view modelu powierzchni Klienci; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
command-center.drivers.read,command-center,query,GET,/api/v1/command-center/drivery-wyniku,/v1/command-center/drivery-wyniku,analytics.read,CommandCenterDriversReadRequest,CommandCenterDriversReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.drivers.read,,30.05,Drivery wyniku,Odczyt view modelu powierzchni Drivery wyniku; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
command-center.funnel.read,command-center,query,GET,/api/v1/command-center/lejek,/v1/command-center/lejek,analytics.read,CommandCenterFunnelReadRequest,CommandCenterFunnelReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.funnel.read,,30.10,Lejek,Odczyt view modelu powierzchni Lejek; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
command-center.kpi.read,command-center,query,GET,/api/v1/command-center/kpi,/v1/command-center/kpi,analytics.read,CommandCenterKpiReadRequest,CommandCenterKpiReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.kpi.read,,30.03,KPI,Odczyt view modelu powierzchni KPI; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
command-center.overview.read,command-center,query,GET,/api/v1/command-center/widok-glowny,/v1/command-center/widok-glowny,analytics.read,CommandCenterOverviewReadRequest,CommandCenterOverviewReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.overview.read,,30.01,Widok główny,Odczyt view modelu powierzchni Widok główny; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
command-center.plan-performance.read,command-center,query,GET,/api/v1/command-center/plan-vs-wynik,/v1/command-center/plan-vs-wynik,analytics.read,CommandCenterPlanPerformanceReadRequest,CommandCenterPlanPerformanceReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.plan-performance.read,,30.04,Plan vs wynik,Odczyt view modelu powierzchni Plan vs wynik; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
command-center.products-summary.read,command-center,query,GET,/api/v1/command-center/produkty,/v1/command-center/produkty,analytics.read,CommandCenterProductsSummaryReadRequest,CommandCenterProductsSummaryReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.products-summary.read,,30.08,Produkty,Odczyt view modelu powierzchni Produkty; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
command-center.read,command-center,query,GET,/api/v1/command-center/read,/v1/command-center/read,command-center.read,CommandCenterReadRequest,CommandCenterReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.read,,,,bazowy odczyt domeny command-center,Artur Wiśniewski
command-center.sales-signals.read,command-center,query,GET,/api/v1/command-center/sygnaly-sprzedazowe,/v1/command-center/sygnaly-sprzedazowe,analytics.read,CommandCenterSalesSignalsReadRequest,CommandCenterSalesSignalsReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.sales-signals.read,,30.12,Sygnały sprzedażowe,Odczyt view modelu powierzchni Sygnały sprzedażowe; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
command-center.sales-sources.read,command-center,query,GET,/api/v1/command-center/zrodla-sprzedazy,/v1/command-center/zrodla-sprzedazy,analytics.read,CommandCenterSalesSourcesReadRequest,CommandCenterSalesSourcesReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.sales-sources.read,,30.06,Źródła sprzedaży,Odczyt view modelu powierzchni Źródła sprzedaży; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
command-center.traffic-summary.read,command-center,query,GET,/api/v1/command-center/ruch,/v1/command-center/ruch,analytics.read,CommandCenterTrafficSummaryReadRequest,CommandCenterTrafficSummaryReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.traffic-summary.read,,30.07,Ruch,Odczyt view modelu powierzchni Ruch; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
command-center.waterfall.read,command-center,query,GET,/api/v1/command-center/waterfall,/v1/command-center/waterfall,analytics.read,CommandCenterWaterfallReadRequest,CommandCenterWaterfallReadResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.waterfall.read,,30.13,Waterfall,Odczyt view modelu powierzchni Waterfall; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
command-center.write,command-center,command,POST,/api/v1/command-center/write,/v1/command-center/write,command-center.write,CommandCenterWriteRequest,CommandCenterWriteResponse,25-kontrakty-domenowe-i-api/command-center.md,approved-target,command-center.write,,,,bazowa operacja zapisu domeny command-center,Artur Wiśniewski
company.draft.update,company,command,PUT,/api/v1/company/draft,/v1/company/draft,company.write,CompanyDraftUpdateRequest,CompanyDraftUpdateResponse,25-kontrakty-domenowe-i-api/company.md,approved-target,company.draft.update,,,,aktualizacja szkicu firmy,Artur Wiśniewski
company.lookup,company,query,GET,/api/v1/company/lookup,/v1/company/lookup,company.read,CompanyLookupRequest,CompanyLookupResponse,25-kontrakty-domenowe-i-api/company.md,approved-target,company.lookup,,,,wyszukanie firmy,Artur Wiśniewski
customers.cohorts.read,customers,query,GET,/api/v1/customers/kohorty,/v1/customers/kohorty,customers.read,CustomersCohortsReadRequest,CustomersCohortsReadResponse,25-kontrakty-domenowe-i-api/customers.md,approved-target,customers.cohorts.read,,34.03,Kohorty,Odczyt view modelu powierzchni Kohorty; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
customers.identity-conflicts.read,customers,query,GET,/api/v1/customers/konflikty-tozsamosci,/v1/customers/konflikty-tozsamosci,customers.read,CustomersIdentityConflictsReadRequest,CustomersIdentityConflictsReadResponse,25-kontrakty-domenowe-i-api/customers.md,approved-target,customers.identity-conflicts.read,,34.05,Konflikty tożsamości,Odczyt view modelu powierzchni Konflikty tożsamości; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
customers.impact.read,customers,query,GET,/api/v1/customers/analiza-wplywu,/v1/customers/analiza-wplywu,customers.read,CustomersImpactReadRequest,CustomersImpactReadResponse,25-kontrakty-domenowe-i-api/customers.md,approved-target,customers.impact.read,,34.07,Analiza wpływu,Odczyt view modelu powierzchni Analiza wpływu; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
customers.overview.read,customers,query,GET,/api/v1/customers/przeglad,/v1/customers/przeglad,customers.read,CustomersOverviewReadRequest,CustomersOverviewReadResponse,25-kontrakty-domenowe-i-api/customers.md,approved-target,customers.overview.read,,34.01,Przegląd,Odczyt view modelu powierzchni Przegląd; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
customers.privacy.read,customers,query,GET,/api/v1/customers/prywatnosc,/v1/customers/prywatnosc,customers.read,CustomersPrivacyReadRequest,CustomersPrivacyReadResponse,25-kontrakty-domenowe-i-api/customers.md,approved-target,customers.privacy.read,,34.06,Prywatność,Odczyt view modelu powierzchni Prywatność; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
customers.pseudonymized-detail.read,customers,query,GET,/api/v1/customers/szczegoly-pseudonimizowane,/v1/customers/szczegoly-pseudonimizowane,customers.read,CustomersPseudonymizedDetailReadRequest,CustomersPseudonymizedDetailReadResponse,25-kontrakty-domenowe-i-api/customers.md,approved-target,customers.pseudonymized-detail.read,,34.04,Szczegóły pseudonimizowane,Odczyt view modelu powierzchni Szczegóły pseudonimizowane; nie tworzy osobnego CRUD poza przypadkiem użycia.,Artur Wiśniewski
customers.read,customers,query,GET,/api/v1/customers/read,/v1/customers/read,customers.read,CustomersReadRequest,CustomersReadResponse,25-kontrakty-domenowe-i-api/customers.md,approved-target,customers.read,,,,bazowy odczyt domeny customers,Artur Wiśniewski
customers.segment.analyze,customers,query,GET,/api/v1/customers/segment/analyze,/v1/customers/segment/analyze,customers.read,CustomersSegmentAnalyzeRequest,CustomersSegmentAnalyzeResponse,25-kontrakty-domenowe-i-api/customers.md,approved-target,customers.segment.analyze,,,,analiza segmentu,Artur Wiśniewski
