surface_id,surface_document,surface_name,auth_state,auth_reason,operation_id,success_transition,error_transition,owner,version
auth-17,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-17-konfiguracja-mfa.md,Konfiguracja MFA,MfaEnrollmentReady,mfaEnrollmentRequired,auth.mfa.enroll,auth-16,auth-17,Artur Wiśniewski,1.0
auth-18,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-18-prosba-o-odzyskanie-hasla.md,Prośba o odzyskanie hasła,PasswordRecoveryRequestReady,passwordRecoveryRequested,auth.password.recovery.request,auth-19,auth-18,Artur Wiśniewski,1.0
auth-19,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-19-informacja-o-wyslaniu-resetu.md,Informacja o wysłaniu resetu,PasswordRecoverySent,passwordRecoveryEmailSent,auth.password.recovery.token.validate,auth-20,auth-18,Artur Wiśniewski,1.0
auth-20,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-20-ustawienie-nowego-hasla.md,Ustawienie nowego hasła,NewPasswordReady,passwordResetTokenAccepted,auth.password.reset,auth-02,auth-20|auth-28,Artur Wiśniewski,1.0
auth-21,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-21-rozwiazanie-dostepu.md,Rozwiązanie dostępu,AccessResolutionReady,accessContextUnresolved,access.resolve,auth-22|auth-23|auth-29,auth-28,Artur Wiśniewski,1.0
auth-22,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-22-wybor-organizacji-lub-tenanta.md,Wybór organizacji lub tenanta,TenantSelectionReady,tenantSelectionRequired,access.tenant.select,auth-23|auth-29,auth-28,Artur Wiśniewski,1.0
auth-23,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-23-wybor-obszaru-roboczego.md,Wybór obszaru roboczego,WorkspaceSelectionReady,workspaceSelectionRequired,access.workspace.select,auth-29,auth-28,Artur Wiśniewski,1.0
auth-24,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-24-ponowne-uwierzytelnienie.md,Ponowne uwierzytelnienie,ReauthenticationReady,freshAuthenticationRequired,auth.reauthenticate,auth-29,auth-28,Artur Wiśniewski,1.0
auth-25,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-25-przetwarzanie-wylogowania.md,Przetwarzanie wylogowania,LogoutProcessing,logoutRequested,auth.logout,auth-26,auth-27,Artur Wiśniewski,1.0
auth-26,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-26-ekran-po-wylogowaniu.md,Ekran po wylogowaniu,SignedOut,sessionTerminated,ui.return_to_login,auth-02,auth-27,Artur Wiśniewski,1.0
auth-27,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-27-usluga-auth-niedostepna.md,Usługa Auth niedostępna,AuthServiceUnavailable,authServiceUnavailable,auth.status.read,auth-01,auth-27,Artur Wiśniewski,1.0
auth-28,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-28-dostep-zablokowany.md,Dostęp zablokowany,AccessBlocked,accessPolicyBlocked,auth.access.blocked.read,auth-18|auth-27,auth-28,Artur Wiśniewski,1.0
auth-29,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-29-zakonczenie-procesu-i-wejscie-do-aplikacji.md,Zakończenie procesu i wejście do aplikacji,EnterApplication,applicationEntryReady,access.bootstrap,app-shell,auth-27,Artur Wiśniewski,1.0
