surface_id,surface_document,surface_name,auth_state,auth_reason,operation_id,success_transition,error_transition,owner,version
auth-11,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Firma już zarejestrowana,CompanyAlreadyRegistered,companyAlreadyExists,invitation.request,auth-15|auth-28,auth-27,Artur Wiśniewski,1.0
auth-12,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Zgody rejestracyjne,RegistrationConsentsReady,registrationConsentsRequired,auth.consents.accept,auth-13,auth-12,Artur Wiśniewski,1.0
auth-13,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Przetwarzanie rejestracji,RegistrationProcessing,registrationSubmissionPending,auth.registration.finalize,auth-14,auth-27,Artur Wiśniewski,1.0
auth-14,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Rejestracja zakończona,RegistrationCompleted,registrationCompleted,access.bootstrap,auth-21|auth-29,auth-27,Artur Wiśniewski,1.0
auth-15,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Przegląd zaproszenia,InvitationReviewReady,invitationReceived,invitation.validate,auth-02|auth-04|auth-21,auth-28,Artur Wiśniewski,1.0
auth-16,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Weryfikacja MFA,MfaChallengeReady,mfaChallengeRequired,auth.mfa.verify,auth-21|auth-29,auth-16|auth-28,Artur Wiśniewski,1.0
auth-17,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Konfiguracja MFA,MfaEnrollmentReady,mfaEnrollmentRequired,auth.mfa.enroll,auth-16,auth-17,Artur Wiśniewski,1.0
auth-18,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Prośba o odzyskanie hasła,PasswordRecoveryRequestReady,passwordRecoveryRequested,auth.password.recovery.request,auth-19,auth-18,Artur Wiśniewski,1.0
auth-19,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Informacja o wysłaniu resetu,PasswordRecoverySent,passwordRecoveryEmailSent,auth.password.recovery.token.validate,auth-20,auth-18,Artur Wiśniewski,1.0
auth-20,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Ustawienie nowego hasła,NewPasswordReady,passwordResetTokenAccepted,auth.password.reset,auth-02,auth-20|auth-28,Artur Wiśniewski,1.0
auth-21,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Rozwiązanie dostępu,AccessResolutionReady,accessContextUnresolved,access.resolve,auth-22|auth-23|auth-29,auth-28,Artur Wiśniewski,1.0
auth-22,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Wybór organizacji lub tenanta,TenantSelectionReady,tenantSelectionRequired,access.tenant.select,auth-23|auth-29,auth-28,Artur Wiśniewski,1.0
auth-23,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Wybór obszaru roboczego,WorkspaceSelectionReady,workspaceSelectionRequired,access.workspace.select,auth-29,auth-28,Artur Wiśniewski,1.0
auth-24,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Ponowne uwierzytelnienie,ReauthenticationReady,freshAuthenticationRequired,auth.reauthenticate,auth-29,auth-28,Artur Wiśniewski,1.0
auth-25,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Przetwarzanie wylogowania,LogoutProcessing,logoutRequested,auth.logout,auth-26,auth-27,Artur Wiśniewski,1.0
auth-26,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Ekran po wylogowaniu,SignedOut,sessionTerminated,ui.return_to_login,auth-02,auth-27,Artur Wiśniewski,1.0
auth-27,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Usługa Auth niedostępna,AuthServiceUnavailable,authServiceUnavailable,auth.status.read,auth-01,auth-27,Artur Wiśniewski,1.0
auth-28,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Dostęp zablokowany,AccessBlocked,accessPolicyBlocked,auth.access.blocked.read,auth-18|auth-27,auth-28,Artur Wiśniewski,1.0
auth-29,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Zakończenie procesu i wejście do aplikacji,EnterApplication,applicationEntryReady,access.bootstrap,app-shell,auth-27,Artur Wiśniewski,1.0
