operation_id,domain,kind,method,bff_route,service_route,capability,request_schema,response_schema,status,owner
auth.password.reset,auth,command,POST,/api/v1/auth/password/reset,/v1/auth/password/reset,auth.write,AuthPasswordResetRequest,AuthPasswordResetResponse,approved-target,Artur Wiśniewski
auth.reauthenticate,auth,command,POST,/api/v1/auth/reauthenticate,/v1/auth/reauthenticate,auth.write,AuthReauthenticateRequest,AuthReauthenticateResponse,approved-target,Artur Wiśniewski
auth.register.email,auth,command,POST,/api/v1/auth/register/email,/v1/auth/register/email,auth.write,AuthRegisterEmailRequest,AuthRegisterEmailResponse,approved-target,Artur Wiśniewski
auth.registration.finalize,auth,job,POST,/api/v1/auth/registration/finalize,/v1/auth/registration/finalize,auth.write,AuthRegistrationFinalizeRequest,AuthRegistrationFinalizeResponse,approved-target,Artur Wiśniewski
auth.session.read,auth,query,GET,/api/v1/auth/session,/v1/auth/session,auth.read,AuthSessionReadRequest,AuthSessionReadResponse,approved-target,Artur Wiśniewski
auth.status.read,auth,query,GET,/api/v1/auth/status,/v1/auth/status,auth.read,AuthStatusReadRequest,AuthStatusReadResponse,approved-target,Artur Wiśniewski
billing.adjustments.read,billing,query,GET,/api/v1/billing/korekty,/v1/billing/korekty,billing.read,BillingAdjustmentsReadRequest,BillingAdjustmentsReadResponse,approved-target,Artur Wiśniewski
billing.change-cancel.read,billing,query,GET,/api/v1/billing/zmiana-i-anulowanie,/v1/billing/zmiana-i-anulowanie,billing.read,BillingChangeCancelReadRequest,BillingChangeCancelReadResponse,approved-target,Artur Wiśniewski
billing.entitlements.read,billing,query,GET,/api/v1/billing/entitlements,/v1/billing/entitlements,billing.read,BillingEntitlementsReadRequest,BillingEntitlementsReadResponse,approved-target,Artur Wiśniewski
billing.invoices.read,billing,query,GET,/api/v1/billing/faktury,/v1/billing/faktury,billing.read,BillingInvoicesReadRequest,BillingInvoicesReadResponse,approved-target,Artur Wiśniewski
billing.overdue-payment.read,billing,query,GET,/api/v1/billing/zalegla-platnosc,/v1/billing/zalegla-platnosc,billing.read,BillingOverduePaymentReadRequest,BillingOverduePaymentReadResponse,approved-target,Artur Wiśniewski
billing.overdue.resolve,billing,command,POST,/api/v1/billing/overdue/resolve,/v1/billing/overdue/resolve,billing.write,BillingOverdueResolveRequest,BillingOverdueResolveResponse,approved-target,Artur Wiśniewski
billing.payment.method.update,billing,command,PUT,/api/v1/billing/payment-method,/v1/billing/payment-method,billing.write,BillingPaymentMethodUpdateRequest,BillingPaymentMethodUpdateResponse,approved-target,Artur Wiśniewski
billing.payments.read,billing,query,GET,/api/v1/billing/platnosci,/v1/billing/platnosci,billing.read,BillingPaymentsReadRequest,BillingPaymentsReadResponse,approved-target,Artur Wiśniewski
billing.pilot-to-subscription.read,billing,query,GET,/api/v1/billing/pilot-do-abonamentu,/v1/billing/pilot-do-abonamentu,billing.read,BillingPilotToSubscriptionReadRequest,BillingPilotToSubscriptionReadResponse,approved-target,Artur Wiśniewski
billing.pilot.read,billing,query,GET,/api/v1/billing/pilot,/v1/billing/pilot,billing.read,BillingPilotReadRequest,BillingPilotReadResponse,approved-target,Artur Wiśniewski
billing.plan.select,billing,command,POST,/api/v1/billing/plan/select,/v1/billing/plan/select,billing.write,BillingPlanSelectRequest,BillingPlanSelectResponse,approved-target,Artur Wiśniewski
billing.plans.read,billing,query,GET,/api/v1/billing/plany,/v1/billing/plany,billing.read,BillingPlansReadRequest,BillingPlansReadResponse,approved-target,Artur Wiśniewski
billing.read,billing,query,GET,/api/v1/billing/read,/v1/billing/read,billing.read,BillingReadRequest,BillingReadResponse,approved-target,Artur Wiśniewski
billing.subscription.activate,billing,command,POST,/api/v1/billing/subscription/activate,/v1/billing/subscription/activate,billing.write,BillingSubscriptionActivateRequest,BillingSubscriptionActivateResponse,approved-target,Artur Wiśniewski
billing.subscription.read,billing,query,GET,/api/v1/billing/subskrypcja,/v1/billing/subskrypcja,billing.read,BillingSubscriptionReadRequest,BillingSubscriptionReadResponse,approved-target,Artur Wiśniewski
billing.usage-limits.read,billing,query,GET,/api/v1/billing/uzycie-i-limity,/v1/billing/uzycie-i-limity,billing.read,BillingUsageLimitsReadRequest,BillingUsageLimitsReadResponse,approved-target,Artur Wiśniewski
billing.write,billing,command,POST,/api/v1/billing/write,/v1/billing/write,billing.write,BillingWriteRequest,BillingWriteResponse,approved-target,Artur Wiśniewski
campaigns.attribution-sales.read,campaigns,query,GET,/api/v1/campaigns/atrybucja-i-sprzedaz,/v1/campaigns/atrybucja-i-sprzedaz,campaigns.read,CampaignsAttributionSalesReadRequest,CampaignsAttributionSalesReadResponse,approved-target,Artur Wiśniewski
campaigns.budget.change.propose,campaigns,command,POST,/api/v1/campaigns/budget/proposals,/v1/campaigns/budget/proposals,campaigns.write,CampaignsBudgetChangeProposeRequest,CampaignsBudgetChangeProposeResponse,approved-target,Artur Wiśniewski
campaigns.budget.read,campaigns,query,GET,/api/v1/campaigns/budzet,/v1/campaigns/budzet,campaigns.read,CampaignsBudgetReadRequest,CampaignsBudgetReadResponse,approved-target,Artur Wiśniewski
campaigns.budget.recommendation.read,campaigns,query,GET,/api/v1/campaigns/budget/recommendation,/v1/campaigns/budget/recommendation,campaigns.read,CampaignsBudgetRecommendationReadRequest,CampaignsBudgetRecommendationReadResponse,approved-target,Artur Wiśniewski
campaigns.detail.read,campaigns,query,GET,/api/v1/campaigns/szczegoly-kampanii,/v1/campaigns/szczegoly-kampanii,campaigns.read,CampaignsDetailReadRequest,CampaignsDetailReadResponse,approved-target,Artur Wiśniewski
campaigns.diagnostics.read,campaigns,query,GET,/api/v1/campaigns/diagnostyka,/v1/campaigns/diagnostyka,campaigns.read,CampaignsDiagnosticsReadRequest,CampaignsDiagnosticsReadResponse,approved-target,Artur Wiśniewski
campaigns.list.read,campaigns,query,GET,/api/v1/campaigns/lista-kampanii,/v1/campaigns/lista-kampanii,campaigns.read,CampaignsListReadRequest,CampaignsListReadResponse,approved-target,Artur Wiśniewski
campaigns.overview.read,campaigns,query,GET,/api/v1/campaigns/przeglad,/v1/campaigns/przeglad,campaigns.read,CampaignsOverviewReadRequest,CampaignsOverviewReadResponse,approved-target,Artur Wiśniewski
campaigns.read,campaigns,query,GET,/api/v1/campaigns/read,/v1/campaigns/read,campaigns.read,CampaignsReadRequest,CampaignsReadResponse,approved-target,Artur Wiśniewski
campaigns.recommendations.read,campaigns,query,GET,/api/v1/campaigns/rekomendacje-kontekst-domenowy,/v1/campaigns/rekomendacje-kontekst-domenowy,campaigns.read,CampaignsRecommendationsReadRequest,CampaignsRecommendationsReadResponse,approved-target,Artur Wiśniewski
campaigns.write,campaigns,command,POST,/api/v1/campaigns/write,/v1/campaigns/write,campaigns.write,CampaignsWriteRequest,CampaignsWriteResponse,approved-target,Artur Wiśniewski
command-center.ai-recommendations.read,command-center,query,GET,/api/v1/command-center/rekomendacje-ai-skrot,/v1/command-center/rekomendacje-ai-skrot,analytics.read,CommandCenterAiRecommendationsReadRequest,CommandCenterAiRecommendationsReadResponse,approved-target,Artur Wiśniewski
command-center.attention.queue.read,command-center,query,GET,/api/v1/command-center/kolejka-uwagi,/v1/command-center/kolejka-uwagi,analytics.read,CommandCenterAttentionQueueReadRequest,CommandCenterAttentionQueueReadResponse,approved-target,Artur Wiśniewski
command-center.customers-summary.read,command-center,query,GET,/api/v1/command-center/klienci,/v1/command-center/klienci,analytics.read,CommandCenterCustomersSummaryReadRequest,CommandCenterCustomersSummaryReadResponse,approved-target,Artur Wiśniewski
command-center.drivers.read,command-center,query,GET,/api/v1/command-center/drivery-wyniku,/v1/command-center/drivery-wyniku,analytics.read,CommandCenterDriversReadRequest,CommandCenterDriversReadResponse,approved-target,Artur Wiśniewski
command-center.funnel.read,command-center,query,GET,/api/v1/command-center/lejek,/v1/command-center/lejek,analytics.read,CommandCenterFunnelReadRequest,CommandCenterFunnelReadResponse,approved-target,Artur Wiśniewski
command-center.kpi.read,command-center,query,GET,/api/v1/command-center/kpi,/v1/command-center/kpi,analytics.read,CommandCenterKpiReadRequest,CommandCenterKpiReadResponse,approved-target,Artur Wiśniewski
command-center.overview.read,command-center,query,GET,/api/v1/command-center/widok-glowny,/v1/command-center/widok-glowny,analytics.read,CommandCenterOverviewReadRequest,CommandCenterOverviewReadResponse,approved-target,Artur Wiśniewski
command-center.plan-performance.read,command-center,query,GET,/api/v1/command-center/plan-vs-wynik,/v1/command-center/plan-vs-wynik,analytics.read,CommandCenterPlanPerformanceReadRequest,CommandCenterPlanPerformanceReadResponse,approved-target,Artur Wiśniewski
command-center.products-summary.read,command-center,query,GET,/api/v1/command-center/produkty,/v1/command-center/produkty,analytics.read,CommandCenterProductsSummaryReadRequest,CommandCenterProductsSummaryReadResponse,approved-target,Artur Wiśniewski
command-center.read,command-center,query,GET,/api/v1/command-center/read,/v1/command-center/read,command-center.read,CommandCenterReadRequest,CommandCenterReadResponse,approved-target,Artur Wiśniewski
command-center.sales-signals.read,command-center,query,GET,/api/v1/command-center/sygnaly-sprzedazowe,/v1/command-center/sygnaly-sprzedazowe,analytics.read,CommandCenterSalesSignalsReadRequest,CommandCenterSalesSignalsReadResponse,approved-target,Artur Wiśniewski
command-center.sales-sources.read,command-center,query,GET,/api/v1/command-center/zrodla-sprzedazy,/v1/command-center/zrodla-sprzedazy,analytics.read,CommandCenterSalesSourcesReadRequest,CommandCenterSalesSourcesReadResponse,approved-target,Artur Wiśniewski
command-center.traffic-summary.read,command-center,query,GET,/api/v1/command-center/ruch,/v1/command-center/ruch,analytics.read,CommandCenterTrafficSummaryReadRequest,CommandCenterTrafficSummaryReadResponse,approved-target,Artur Wiśniewski
command-center.waterfall.read,command-center,query,GET,/api/v1/command-center/waterfall,/v1/command-center/waterfall,analytics.read,CommandCenterWaterfallReadRequest,CommandCenterWaterfallReadResponse,approved-target,Artur Wiśniewski
command-center.write,command-center,command,POST,/api/v1/command-center/write,/v1/command-center/write,command-center.write,CommandCenterWriteRequest,CommandCenterWriteResponse,approved-target,Artur Wiśniewski
company.draft.update,company,command,PUT,/api/v1/company/draft,/v1/company/draft,company.write,CompanyDraftUpdateRequest,CompanyDraftUpdateResponse,approved-target,Artur Wiśniewski
company.lookup,company,query,GET,/api/v1/company/lookup,/v1/company/lookup,company.read,CompanyLookupRequest,CompanyLookupResponse,approved-target,Artur Wiśniewski
customers.cohorts.read,customers,query,GET,/api/v1/customers/kohorty,/v1/customers/kohorty,customers.read,CustomersCohortsReadRequest,CustomersCohortsReadResponse,approved-target,Artur Wiśniewski
customers.identity-conflicts.read,customers,query,GET,/api/v1/customers/konflikty-tozsamosci,/v1/customers/konflikty-tozsamosci,customers.read,CustomersIdentityConflictsReadRequest,CustomersIdentityConflictsReadResponse,approved-target,Artur Wiśniewski
customers.impact.read,customers,query,GET,/api/v1/customers/analiza-wplywu,/v1/customers/analiza-wplywu,customers.read,CustomersImpactReadRequest,CustomersImpactReadResponse,approved-target,Artur Wiśniewski
customers.overview.read,customers,query,GET,/api/v1/customers/przeglad,/v1/customers/przeglad,customers.read,CustomersOverviewReadRequest,CustomersOverviewReadResponse,approved-target,Artur Wiśniewski
customers.privacy.read,customers,query,GET,/api/v1/customers/prywatnosc,/v1/customers/prywatnosc,customers.read,CustomersPrivacyReadRequest,CustomersPrivacyReadResponse,approved-target,Artur Wiśniewski
customers.pseudonymized-detail.read,customers,query,GET,/api/v1/customers/szczegoly-pseudonimizowane,/v1/customers/szczegoly-pseudonimizowane,customers.read,CustomersPseudonymizedDetailReadRequest,CustomersPseudonymizedDetailReadResponse,approved-target,Artur Wiśniewski
customers.read,customers,query,GET,/api/v1/customers/read,/v1/customers/read,customers.read,CustomersReadRequest,CustomersReadResponse,approved-target,Artur Wiśniewski
customers.segment.analyze,customers,query,GET,/api/v1/customers/segment/analyze,/v1/customers/segment/analyze,customers.read,CustomersSegmentAnalyzeRequest,CustomersSegmentAnalyzeResponse,approved-target,Artur Wiśniewski
customers.segments.read,customers,query,GET,/api/v1/customers/segmenty,/v1/customers/segmenty,customers.read,CustomersSegmentsReadRequest,CustomersSegmentsReadResponse,approved-target,Artur Wiśniewski
customers.write,customers,command,POST,/api/v1/customers/write,/v1/customers/write,customers.write,CustomersWriteRequest,CustomersWriteResponse,approved-target,Artur Wiśniewski
data-quality.center.read,data-quality,query,GET,/api/v1/data-quality/centrum-jakosci,/v1/data-quality/centrum-jakosci,data-quality.read,DataQualityCenterReadRequest,DataQualityCenterReadResponse,approved-target,Artur Wiśniewski
data-quality.conflicts.read,data-quality,query,GET,/api/v1/data-quality/konflikty,/v1/data-quality/konflikty,data-quality.read,DataQualityConflictsReadRequest,DataQualityConflictsReadResponse,approved-target,Artur Wiśniewski
data-quality.dataset.read,data-quality,query,GET,/api/v1/data-quality/zbior-danych,/v1/data-quality/zbior-danych,data-quality.read,DataQualityDatasetReadRequest,DataQualityDatasetReadResponse,approved-target,Artur Wiśniewski
data-quality.lineage.read,data-quality,query,GET,/api/v1/data-quality/pochodzenie-danych,/v1/data-quality/pochodzenie-danych,data-quality.read,DataQualityLineageReadRequest,DataQualityLineageReadResponse,approved-target,Artur Wiśniewski
data-quality.manual-review.read,data-quality,query,GET,/api/v1/data-quality/przeglad-reczny,/v1/data-quality/przeglad-reczny,data-quality.read,DataQualityManualReviewReadRequest,DataQualityManualReviewReadResponse,approved-target,Artur Wiśniewski
data-quality.manual-review.submit,data-quality,command,POST,/api/v1/data-quality/manual-review,/v1/data-quality/manual-review,data-quality.write,DataQualityManualReviewSubmitRequest,DataQualityManualReviewSubmitResponse,approved-target,Artur Wiśniewski
data-quality.read,data-quality,query,GET,/api/v1/data-quality/read,/v1/data-quality/read,data-quality.read,DataQualityReadRequest,DataQualityReadResponse,approved-target,Artur Wiśniewski
data-quality.readiness.read,data-quality,query,GET,/api/v1/data-quality/readiness,/v1/data-quality/readiness,data-quality.read,DataQualityReadinessReadRequest,DataQualityReadinessReadResponse,approved-target,Artur Wiśniewski
data-quality.reconciliation.confirm,data-quality,command,POST,/api/v1/data-quality/reconciliation/confirm,/v1/data-quality/reconciliation/confirm,data-quality.write,DataQualityReconciliationConfirmRequest,DataQualityReconciliationConfirmResponse,approved-target,Artur Wiśniewski
data-quality.reconciliation.read,data-quality,query,GET,/api/v1/data-quality/rekoncyliacja,/v1/data-quality/rekoncyliacja,data-quality.read,DataQualityReconciliationReadRequest,DataQualityReconciliationReadResponse,approved-target,Artur Wiśniewski
data-quality.reprocess.start,data-quality,command,POST,/api/v1/data-quality/reprocess,/v1/data-quality/reprocess,data-quality.write,DataQualityReprocessStartRequest,DataQualityReprocessStartResponse,approved-target,Artur Wiśniewski
data-quality.reprocessing.read,data-quality,query,GET,/api/v1/data-quality/ponowne-przetwarzanie,/v1/data-quality/ponowne-przetwarzanie,data-quality.read,DataQualityReprocessingReadRequest,DataQualityReprocessingReadResponse,approved-target,Artur Wiśniewski
data-quality.source-overlap.read,data-quality,query,GET,/api/v1/data-quality/nakladanie-zrodel,/v1/data-quality/nakladanie-zrodel,data-quality.read,DataQualitySourceOverlapReadRequest,DataQualitySourceOverlapReadResponse,approved-target,Artur Wiśniewski
data-quality.source-priority.read,data-quality,query,GET,/api/v1/data-quality/nadrzednosc-zrodla,/v1/data-quality/nadrzednosc-zrodla,data-quality.read,DataQualitySourcePriorityReadRequest,DataQualitySourcePriorityReadResponse,approved-target,Artur Wiśniewski
data-quality.write,data-quality,command,POST,/api/v1/data-quality/write,/v1/data-quality/write,data-quality.write,DataQualityWriteRequest,DataQualityWriteResponse,approved-target,Artur Wiśniewski
decisions.action-brief.read,decisions,query,GET,/api/v1/decisions/brief-dzialania,/v1/decisions/brief-dzialania,decisions.read,DecisionsActionBriefReadRequest,DecisionsActionBriefReadResponse,approved-target,Artur Wiśniewski
decisions.action-detail.read,decisions,query,GET,/api/v1/decisions/szczegoly-dzialania,/v1/decisions/szczegoly-dzialania,decisions.read,DecisionsActionDetailReadRequest,DecisionsActionDetailReadResponse,approved-target,Artur Wiśniewski
decisions.action-library.read,decisions,query,GET,/api/v1/decisions/biblioteka-dzialan,/v1/decisions/biblioteka-dzialan,decisions.read,DecisionsActionLibraryReadRequest,DecisionsActionLibraryReadResponse,approved-target,Artur Wiśniewski
decisions.action.brief.create,decisions,command,POST,/api/v1/decisions/action-brief,/v1/decisions/action-brief,decisions.write,DecisionsActionBriefCreateRequest,DecisionsActionBriefCreateResponse,approved-target,Artur Wiśniewski
decisions.center.read,decisions,query,GET,/api/v1/decisions/centrum-decyzji,/v1/decisions/centrum-decyzji,decisions.read,DecisionsCenterReadRequest,DecisionsCenterReadResponse,approved-target,Artur Wiśniewski
decisions.decision.record,decisions,command,POST,/api/v1/decisions/registry,/v1/decisions/registry,decisions.write,DecisionsDecisionRecordRequest,DecisionsDecisionRecordResponse,approved-target,Artur Wiśniewski
decisions.measurement.read,decisions,query,GET,/api/v1/decisions/pomiar,/v1/decisions/pomiar,decisions.read,DecisionsMeasurementReadRequest,DecisionsMeasurementReadResponse,approved-target,Artur Wiśniewski
decisions.observation.create,decisions,command,POST,/api/v1/decisions/observations,/v1/decisions/observations,decisions.write,DecisionsObservationCreateRequest,DecisionsObservationCreateResponse,approved-target,Artur Wiśniewski
decisions.observations.read,decisions,query,GET,/api/v1/decisions/obserwacje,/v1/decisions/obserwacje,decisions.read,DecisionsObservationsReadRequest,DecisionsObservationsReadResponse,approved-target,Artur Wiśniewski
decisions.recommendation.read,decisions,query,GET,/api/v1/decisions/recommendation,/v1/decisions/recommendation,decisions.read,DecisionsRecommendationReadRequest,DecisionsRecommendationReadResponse,approved-target,Artur Wiśniewski
decisions.registry.read,decisions,query,GET,/api/v1/decisions/rejestr-decyzji,/v1/decisions/rejestr-decyzji,decisions.read,DecisionsRegistryReadRequest,DecisionsRegistryReadResponse,approved-target,Artur Wiśniewski
decisions.rekomendacje.read,decisions,query,GET,/api/v1/decisions/rekomendacje,/v1/decisions/rekomendacje,decisions.read,DecisionsRekomendacjeReadRequest,DecisionsRekomendacjeReadResponse,approved-target,Artur Wiśniewski
decisions.relations.read,decisions,query,GET,/api/v1/decisions/powiazania-z-modulami-i-sprawami,/v1/decisions/powiazania-z-modulami-i-sprawami,decisions.read,DecisionsRelationsReadRequest,DecisionsRelationsReadResponse,approved-target,Artur Wiśniewski
help.home.read,help,query,GET,/api/v1/help/strona-glowna-pomocy,/v1/help/strona-glowna-pomocy,help.read,HelpHomeReadRequest,HelpHomeReadResponse,approved-target,Artur Wiśniewski
help.procedure-detail.read,help,query,GET,/api/v1/help/szczegoly-procedury,/v1/help/szczegoly-procedury,help.read,HelpProcedureDetailReadRequest,HelpProcedureDetailReadResponse,approved-target,Artur Wiśniewski
help.procedures.read,help,query,GET,/api/v1/help/procedury,/v1/help/procedury,help.read,HelpProceduresReadRequest,HelpProceduresReadResponse,approved-target,Artur Wiśniewski
help.read,help,query,GET,/api/v1/help/read,/v1/help/read,help.read,HelpReadRequest,HelpReadResponse,approved-target,Artur Wiśniewski
help.results.read,help,query,GET,/api/v1/help/lista-wynikow,/v1/help/lista-wynikow,help.read,HelpResultsReadRequest,HelpResultsReadResponse,approved-target,Artur Wiśniewski
help.support-request.read,help,query,GET,/api/v1/help/zgloszenie-wsparcia,/v1/help/zgloszenie-wsparcia,help.read,HelpSupportRequestReadRequest,HelpSupportRequestReadResponse,approved-target,Artur Wiśniewski
help.write,help,command,POST,/api/v1/help/write,/v1/help/write,help.write,HelpWriteRequest,HelpWriteResponse,approved-target,Artur Wiśniewski
integrations.catalog.read,integrations,query,GET,/api/v1/integrations/katalog-integracji,/v1/integrations/katalog-integracji,integrations.read,IntegrationsCatalogReadRequest,IntegrationsCatalogReadResponse,approved-target,Artur Wiśniewski
integrations.connection-wizard.read,integrations,query,GET,/api/v1/integrations/kreator-polaczenia,/v1/integrations/kreator-polaczenia,integrations.read,IntegrationsConnectionWizardReadRequest,IntegrationsConnectionWizardReadResponse,approved-target,Artur Wiśniewski
integrations.connection.create,integrations,command,POST,/api/v1/integrations/connections,/v1/integrations/connections,integrations.write,IntegrationsConnectionCreateRequest,IntegrationsConnectionCreateResponse,approved-target,Artur Wiśniewski
integrations.detail.read,integrations,query,GET,/api/v1/integrations/szczegoly-integracji,/v1/integrations/szczegoly-integracji,integrations.read,IntegrationsDetailReadRequest,IntegrationsDetailReadResponse,approved-target,Artur Wiśniewski
integrations.disconnect.read,integrations,query,GET,/api/v1/integrations/odlaczenie,/v1/integrations/odlaczenie,integrations.read,IntegrationsDisconnectReadRequest,IntegrationsDisconnectReadResponse,approved-target,Artur Wiśniewski
integrations.oauth.callback,integrations,callback,POST,/api/v1/integrations/oauth/callback,/v1/integrations/oauth/callback,integrations.write,IntegrationsOauthCallbackRequest,IntegrationsOauthCallbackResponse,approved-target,Artur Wiśniewski
integrations.provider-outage.read,integrations,query,GET,/api/v1/integrations/awaria-providera,/v1/integrations/awaria-providera,integrations.read,IntegrationsProviderOutageReadRequest,IntegrationsProviderOutageReadResponse,approved-target,Artur Wiśniewski
integrations.read,integrations,query,GET,/api/v1/integrations/read,/v1/integrations/read,integrations.read,IntegrationsReadRequest,IntegrationsReadResponse,approved-target,Artur Wiśniewski
integrations.reconnect.read,integrations,query,GET,/api/v1/integrations/ponowne-polaczenie,/v1/integrations/ponowne-polaczenie,integrations.read,IntegrationsReconnectReadRequest,IntegrationsReconnectReadResponse,approved-target,Artur Wiśniewski
integrations.reconnect.start,integrations,command,POST,/api/v1/integrations/reconnect/start,/v1/integrations/reconnect/start,integrations.write,IntegrationsReconnectStartRequest,IntegrationsReconnectStartResponse,approved-target,Artur Wiśniewski
integrations.sync-history.read,integrations,query,GET,/api/v1/integrations/historia-synchronizacji,/v1/integrations/historia-synchronizacji,integrations.read,IntegrationsSyncHistoryReadRequest,IntegrationsSyncHistoryReadResponse,approved-target,Artur Wiśniewski
integrations.sync-run.read,integrations,query,GET,/api/v1/integrations/przebieg-synchronizacji,/v1/integrations/przebieg-synchronizacji,integrations.read,IntegrationsSyncRunReadRequest,IntegrationsSyncRunReadResponse,approved-target,Artur Wiśniewski
integrations.sync-scope.read,integrations,query,GET,/api/v1/integrations/zakres-synchronizacji,/v1/integrations/zakres-synchronizacji,integrations.read,IntegrationsSyncScopeReadRequest,IntegrationsSyncScopeReadResponse,approved-target,Artur Wiśniewski
integrations.sync.resume,integrations,command,POST,/api/v1/integrations/sync/resume,/v1/integrations/sync/resume,integrations.write,IntegrationsSyncResumeRequest,IntegrationsSyncResumeResponse,approved-target,Artur Wiśniewski
integrations.sync.start,integrations,command,POST,/api/v1/integrations/sync/start,/v1/integrations/sync/start,integrations.write,IntegrationsSyncStartRequest,IntegrationsSyncStartResponse,approved-target,Artur Wiśniewski
integrations.write,integrations,command,POST,/api/v1/integrations/write,/v1/integrations/write,integrations.write,IntegrationsWriteRequest,IntegrationsWriteResponse,approved-target,Artur Wiśniewski
invitation.accept,auth,command,POST,/api/v1/auth/invitations/accept,/v1/auth/invitations/accept,auth.write,InvitationAcceptRequest,InvitationAcceptResponse,approved-target,Artur Wiśniewski
invitation.read,invitation,query,GET,/api/v1/invitation/read,/v1/invitation/read,invitation.read,InvitationReadRequest,InvitationReadResponse,approved-target,Artur Wiśniewski
invitation.reject,invitation,command,POST,/api/v1/invitation/reject,/v1/invitation/reject,invitation.write,InvitationRejectRequest,InvitationRejectResponse,approved-target,Artur Wiśniewski
