screen_id,ekran,komponent,component_document,status
25.02,Logowanie,RadioGroup,04-komponenty-bazowe/komponenty/radiogroup.md,required
25.02,Logowanie,SearchField,04-komponenty-bazowe/komponenty/searchfield.md,required
20.01,Powłoka aplikacji,SectionIntro,04-komponenty-bazowe/komponenty/sectionintro.md,required
20.01,Powłoka aplikacji,SectionNavigation,04-komponenty-bazowe/komponenty/sectionnavigation.md,required
25.02,Logowanie,Select,04-komponenty-bazowe/komponenty/select.md,required
20.10,Nakładki i warstwy interfejsu,Skeleton,04-komponenty-bazowe/komponenty/skeleton.md,required
20.10,Nakładki i warstwy interfejsu,Spinner,04-komponenty-bazowe/komponenty/spinner.md,required
30.01,Widok główny,StatusBadge,04-komponenty-bazowe/komponenty/statusbadge.md,required
25.02,Logowanie,Switch,04-komponenty-bazowe/komponenty/switch.md,required
20.01,Powłoka aplikacji,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
30.01,Widok główny,TextAction,04-komponenty-bazowe/komponenty/textaction.md,required
30.01,Widok główny,TextArea,04-komponenty-bazowe/komponenty/textarea.md,required
25.02,Logowanie,TextField,04-komponenty-bazowe/komponenty/textfield.md,required
20.10,Nakładki i warstwy interfejsu,Toast,04-komponenty-bazowe/komponenty/toast.md,required
20.10,Nakładki i warstwy interfejsu,Tooltip,04-komponenty-bazowe/komponenty/tooltip.md,required
25.02,Logowanie,VerificationCodeInput,04-komponenty-bazowe/komponenty/verificationcodeinput.md,required
30.04,Plan vs wynik,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
30.04,Plan vs wynik,ComparisonChart,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,required
30.04,Plan vs wynik,CorrelationChart,05-wykresy-i-wizualizacje/komponenty/correlationchart.md,required
30.04,Plan vs wynik,ForecastChart,05-wykresy-i-wizualizacje/komponenty/forecastchart.md,required
30.04,Plan vs wynik,FunnelChart,05-wykresy-i-wizualizacje/komponenty/funnelchart.md,required
30.04,Plan vs wynik,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
30.04,Plan vs wynik,ShareChart,05-wykresy-i-wizualizacje/komponenty/sharechart.md,required
30.04,Plan vs wynik,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
30.04,Plan vs wynik,WaterfallChart,05-wykresy-i-wizualizacje/komponenty/waterfallchart.md,required
30.01,Widok główny,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.01,Widok główny,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.02,Kolejka uwagi,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.02,Kolejka uwagi,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.02,Kolejka uwagi,Button,04-komponenty-bazowe/komponenty/button.md,required
30.02,Kolejka uwagi,FilterBar,04-komponenty-bazowe/komponenty/filterbar.md,required
30.02,Kolejka uwagi,DataTable,04-komponenty-bazowe/komponenty/datatable.md,required
30.02,Kolejka uwagi,Pagination,04-komponenty-bazowe/komponenty/pagination.md,required
30.02,Kolejka uwagi,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
30.02,Kolejka uwagi,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
30.02,Kolejka uwagi,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
30.02,Kolejka uwagi,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
30.03,KPI,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.03,KPI,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.03,KPI,Button,04-komponenty-bazowe/komponenty/button.md,required
30.03,KPI,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
30.03,KPI,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
30.03,KPI,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
30.03,KPI,ForecastChart,05-wykresy-i-wizualizacje/komponenty/forecastchart.md,required
30.03,KPI,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
30.03,KPI,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
30.03,KPI,TextField,04-komponenty-bazowe/komponenty/textfield.md,required
30.03,KPI,Select,04-komponenty-bazowe/komponenty/select.md,required
30.03,KPI,Checkbox,04-komponenty-bazowe/komponenty/checkbox.md,required
30.03,KPI,Dialog,04-komponenty-bazowe/komponenty/dialog.md,required
30.04,Plan vs wynik,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.04,Plan vs wynik,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.04,Plan vs wynik,Button,04-komponenty-bazowe/komponenty/button.md,required
30.05,Drivery wyniku,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.05,Drivery wyniku,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.05,Drivery wyniku,Button,04-komponenty-bazowe/komponenty/button.md,required
30.05,Drivery wyniku,ShareChart,05-wykresy-i-wizualizacje/komponenty/sharechart.md,required
30.05,Drivery wyniku,ComparisonChart,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,required
30.05,Drivery wyniku,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
30.05,Drivery wyniku,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
30.06,Źródła sprzedaży,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.06,Źródła sprzedaży,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.06,Źródła sprzedaży,Button,04-komponenty-bazowe/komponenty/button.md,required
30.06,Źródła sprzedaży,ShareChart,05-wykresy-i-wizualizacje/komponenty/sharechart.md,required
30.06,Źródła sprzedaży,ComparisonChart,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,required
30.07,Ruch,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.07,Ruch,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.07,Ruch,Button,04-komponenty-bazowe/komponenty/button.md,required
30.07,Ruch,FilterBar,04-komponenty-bazowe/komponenty/filterbar.md,required
30.07,Ruch,DataTable,04-komponenty-bazowe/komponenty/datatable.md,required
30.07,Ruch,Pagination,04-komponenty-bazowe/komponenty/pagination.md,required
30.07,Ruch,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
30.07,Ruch,ShareChart,05-wykresy-i-wizualizacje/komponenty/sharechart.md,required
30.07,Ruch,ComparisonChart,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,required
30.07,Ruch,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
30.08,Produkty,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.08,Produkty,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.08,Produkty,Button,04-komponenty-bazowe/komponenty/button.md,required
30.08,Produkty,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
30.08,Produkty,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
30.09,Klienci,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.09,Klienci,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.09,Klienci,Button,04-komponenty-bazowe/komponenty/button.md,required
30.09,Klienci,ShareChart,05-wykresy-i-wizualizacje/komponenty/sharechart.md,required
30.09,Klienci,ComparisonChart,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,required
30.10,Lejek,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.10,Lejek,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.10,Lejek,Button,04-komponenty-bazowe/komponenty/button.md,required
30.10,Lejek,FunnelChart,05-wykresy-i-wizualizacje/komponenty/funnelchart.md,required
30.10,Lejek,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
30.10,Lejek,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
30.10,Lejek,TextField,04-komponenty-bazowe/komponenty/textfield.md,required
30.10,Lejek,Select,04-komponenty-bazowe/komponenty/select.md,required
30.10,Lejek,Checkbox,04-komponenty-bazowe/komponenty/checkbox.md,required
30.10,Lejek,Dialog,04-komponenty-bazowe/komponenty/dialog.md,required
30.11,Rekomendacje AI — skrót,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.11,Rekomendacje AI — skrót,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.11,Rekomendacje AI — skrót,Button,04-komponenty-bazowe/komponenty/button.md,required
30.11,Rekomendacje AI — skrót,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
30.11,Rekomendacje AI — skrót,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
30.11,Rekomendacje AI — skrót,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
30.11,Rekomendacje AI — skrót,DecisionCard,04-komponenty-bazowe/komponenty/decisioncard.md,required
30.12,Sygnały sprzedażowe,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.12,Sygnały sprzedażowe,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.12,Sygnały sprzedażowe,Button,04-komponenty-bazowe/komponenty/button.md,required
30.12,Sygnały sprzedażowe,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
30.12,Sygnały sprzedażowe,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
30.13,Waterfall,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.13,Waterfall,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.13,Waterfall,Button,04-komponenty-bazowe/komponenty/button.md,required
30.13,Waterfall,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
30.13,Waterfall,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
30.13,Waterfall,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
30.13,Waterfall,WaterfallChart,05-wykresy-i-wizualizacje/komponenty/waterfallchart.md,required
30.13,Waterfall,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
30.13,Waterfall,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
30.14,Warianty Centrum Dowodzenia,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
30.14,Warianty Centrum Dowodzenia,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
30.14,Warianty Centrum Dowodzenia,Button,04-komponenty-bazowe/komponenty/button.md,required
30.14,Warianty Centrum Dowodzenia,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
30.14,Warianty Centrum Dowodzenia,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
30.14,Warianty Centrum Dowodzenia,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
30.14,Warianty Centrum Dowodzenia,DecisionCard,04-komponenty-bazowe/komponenty/decisioncard.md,required
30.14,Warianty Centrum Dowodzenia,TextField,04-komponenty-bazowe/komponenty/textfield.md,required
30.14,Warianty Centrum Dowodzenia,Select,04-komponenty-bazowe/komponenty/select.md,required
30.14,Warianty Centrum Dowodzenia,Checkbox,04-komponenty-bazowe/komponenty/checkbox.md,required
30.14,Warianty Centrum Dowodzenia,Dialog,04-komponenty-bazowe/komponenty/dialog.md,required
31.01,Przegląd,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
31.01,Przegląd,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
31.01,Przegląd,Button,04-komponenty-bazowe/komponenty/button.md,required
31.01,Przegląd,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
31.01,Przegląd,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
31.01,Przegląd,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
31.01,Przegląd,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
31.01,Przegląd,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
31.02,Lista kampanii,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
31.02,Lista kampanii,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
31.02,Lista kampanii,Button,04-komponenty-bazowe/komponenty/button.md,required
31.02,Lista kampanii,FilterBar,04-komponenty-bazowe/komponenty/filterbar.md,required
31.02,Lista kampanii,DataTable,04-komponenty-bazowe/komponenty/datatable.md,required
31.02,Lista kampanii,Pagination,04-komponenty-bazowe/komponenty/pagination.md,required
31.02,Lista kampanii,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
31.02,Lista kampanii,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
31.02,Lista kampanii,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
31.02,Lista kampanii,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
31.02,Lista kampanii,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
31.03,Szczegóły kampanii,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
31.03,Szczegóły kampanii,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
31.03,Szczegóły kampanii,Button,04-komponenty-bazowe/komponenty/button.md,required
31.03,Szczegóły kampanii,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
31.03,Szczegóły kampanii,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
31.03,Szczegóły kampanii,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
31.03,Szczegóły kampanii,ShareChart,05-wykresy-i-wizualizacje/komponenty/sharechart.md,required
31.03,Szczegóły kampanii,ComparisonChart,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,required
31.03,Szczegóły kampanii,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
31.03,Szczegóły kampanii,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
31.04,Atrybucja i sprzedaż,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
31.04,Atrybucja i sprzedaż,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
31.04,Atrybucja i sprzedaż,Button,04-komponenty-bazowe/komponenty/button.md,required
31.04,Atrybucja i sprzedaż,ShareChart,05-wykresy-i-wizualizacje/komponenty/sharechart.md,required
31.04,Atrybucja i sprzedaż,ComparisonChart,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,required
31.05,Budżet,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
31.05,Budżet,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
31.05,Budżet,Button,04-komponenty-bazowe/komponenty/button.md,required
31.05,Budżet,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
31.05,Budżet,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
31.05,Budżet,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
31.05,Budżet,DecisionCard,04-komponenty-bazowe/komponenty/decisioncard.md,required
31.06,Diagnostyka,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
31.06,Diagnostyka,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
31.06,Diagnostyka,Button,04-komponenty-bazowe/komponenty/button.md,required
31.07,Rekomendacje — kontekst domenowy,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
31.07,Rekomendacje — kontekst domenowy,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
31.07,Rekomendacje — kontekst domenowy,Button,04-komponenty-bazowe/komponenty/button.md,required
31.07,Rekomendacje — kontekst domenowy,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
31.07,Rekomendacje — kontekst domenowy,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
31.07,Rekomendacje — kontekst domenowy,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
31.07,Rekomendacje — kontekst domenowy,DecisionCard,04-komponenty-bazowe/komponenty/decisioncard.md,required
31.07,Rekomendacje — kontekst domenowy,ApprovalPanel,04-komponenty-bazowe/komponenty/approvalpanel.md,required
31.07,Rekomendacje — kontekst domenowy,AlertDialog,04-komponenty-bazowe/komponenty/alertdialog.md,required
31.08,Warianty kampanii,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
31.08,Warianty kampanii,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
31.08,Warianty kampanii,Button,04-komponenty-bazowe/komponenty/button.md,required
31.08,Warianty kampanii,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
31.08,Warianty kampanii,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
32.01,Przegląd,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
32.01,Przegląd,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
32.01,Przegląd,Button,04-komponenty-bazowe/komponenty/button.md,required
32.01,Przegląd,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
32.01,Przegląd,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
32.01,Przegląd,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
32.01,Przegląd,ShareChart,05-wykresy-i-wizualizacje/komponenty/sharechart.md,required
32.01,Przegląd,ComparisonChart,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,required
32.01,Przegląd,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
32.01,Przegląd,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
32.02,Lista,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
32.02,Lista,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
32.02,Lista,Button,04-komponenty-bazowe/komponenty/button.md,required
32.02,Lista,FilterBar,04-komponenty-bazowe/komponenty/filterbar.md,required
32.02,Lista,DataTable,04-komponenty-bazowe/komponenty/datatable.md,required
32.02,Lista,Pagination,04-komponenty-bazowe/komponenty/pagination.md,required
32.02,Lista,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
32.03,Szczegóły,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
32.03,Szczegóły,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
32.03,Szczegóły,Button,04-komponenty-bazowe/komponenty/button.md,required
32.03,Szczegóły,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
32.03,Szczegóły,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
32.04,Oś zdarzeń,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
32.04,Oś zdarzeń,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
32.04,Oś zdarzeń,Button,04-komponenty-bazowe/komponenty/button.md,required
32.04,Oś zdarzeń,TextField,04-komponenty-bazowe/komponenty/textfield.md,required
32.04,Oś zdarzeń,Select,04-komponenty-bazowe/komponenty/select.md,required
32.04,Oś zdarzeń,Checkbox,04-komponenty-bazowe/komponenty/checkbox.md,required
32.04,Oś zdarzeń,Dialog,04-komponenty-bazowe/komponenty/dialog.md,required
32.05,Porównanie źródeł,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
32.05,Porównanie źródeł,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
32.05,Porównanie źródeł,Button,04-komponenty-bazowe/komponenty/button.md,required
32.06,Rekoncyliacja — skrót,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
32.06,Rekoncyliacja — skrót,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
32.06,Rekoncyliacja — skrót,Button,04-komponenty-bazowe/komponenty/button.md,required
32.07,Eksport,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
32.07,Eksport,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
32.07,Eksport,Button,04-komponenty-bazowe/komponenty/button.md,required
32.08,Warianty zamówień,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
32.08,Warianty zamówień,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
32.08,Warianty zamówień,Button,04-komponenty-bazowe/komponenty/button.md,required
33.01,Przegląd,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
33.01,Przegląd,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
33.01,Przegląd,Button,04-komponenty-bazowe/komponenty/button.md,required
33.01,Przegląd,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
33.01,Przegląd,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
33.01,Przegląd,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
33.01,Przegląd,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
33.01,Przegląd,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
33.02,Katalog,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
33.02,Katalog,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
33.02,Katalog,Button,04-komponenty-bazowe/komponenty/button.md,required
33.02,Katalog,FilterBar,04-komponenty-bazowe/komponenty/filterbar.md,required
33.02,Katalog,DataTable,04-komponenty-bazowe/komponenty/datatable.md,required
33.02,Katalog,Pagination,04-komponenty-bazowe/komponenty/pagination.md,required
33.02,Katalog,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
33.02,Katalog,ShareChart,05-wykresy-i-wizualizacje/komponenty/sharechart.md,required
33.02,Katalog,ComparisonChart,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,required
33.02,Katalog,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
33.03,Szczegóły,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
33.03,Szczegóły,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
33.03,Szczegóły,Button,04-komponenty-bazowe/komponenty/button.md,required
33.03,Szczegóły,ShareChart,05-wykresy-i-wizualizacje/komponenty/sharechart.md,required
33.03,Szczegóły,ComparisonChart,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,required
33.03,Szczegóły,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
33.03,Szczegóły,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
33.04,Mapowanie,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
33.04,Mapowanie,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
33.04,Mapowanie,Button,04-komponenty-bazowe/komponenty/button.md,required
33.04,Mapowanie,TextField,04-komponenty-bazowe/komponenty/textfield.md,required
33.04,Mapowanie,Select,04-komponenty-bazowe/komponenty/select.md,required
33.04,Mapowanie,Checkbox,04-komponenty-bazowe/komponenty/checkbox.md,required
33.04,Mapowanie,Dialog,04-komponenty-bazowe/komponenty/dialog.md,required
33.05,Oferty,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
33.05,Oferty,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
33.05,Oferty,Button,04-komponenty-bazowe/komponenty/button.md,required
33.06,Wydajność,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
33.06,Wydajność,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
33.06,Wydajność,Button,04-komponenty-bazowe/komponenty/button.md,required
33.06,Wydajność,MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,required
33.06,Wydajność,ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,required
33.06,Wydajność,TrendChart,05-wykresy-i-wizualizacje/komponenty/trendchart.md,required
33.06,Wydajność,ShareChart,05-wykresy-i-wizualizacje/komponenty/sharechart.md,required
33.06,Wydajność,ComparisonChart,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,required
33.06,Wydajność,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
33.06,Wydajność,Tabs,04-komponenty-bazowe/komponenty/tabs.md,required
33.07,Kolejka braków,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
33.07,Kolejka braków,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
